tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,1,1,0,0,0,0,1,1
2020-03-17,1,0,0,0,0,0,1,0
2020-03-18,1,0,0,0,0,0,1,0
2020-03-19,1,0,0,0,0,0,1,0
2020-03-20,1,0,1,1,0,0,0,-1
2020-03-21,1,0,1,0,0,0,0,0
2020-03-22,1,0,1,0,0,0,0,0
2020-03-23,1,0,1,0,1,1,-1,-1
2020-03-24,1,0,1,0,1,0,-1,0
2020-03-25,1,0,1,0,2,1,-2,-1
2020-03-26,1,0,1,0,2,0,-2,0
2020-03-27,2,1,1,0,2,0,-1,1
2020-03-28,2,0,1,0,2,0,-1,0
2020-03-29,2,0,1,0,2,0,-1,0
2020-03-30,3,1,2,1,2,0,-1,0
2020-03-31,8,5,2,0,2,0,4,5
2020-04-01,13,5,3,1,2,0,8,4
2020-04-02,13,0,3,0,3,1,7,-1
2020-04-03,13,0,3,0,3,0,7,0
2020-04-04,18,5,3,0,3,0,12,5
2020-04-05,19,1,3,0,3,0,13,1
2020-04-06,22,3,4,1,3,0,15,2
2020-04-07,23,1,4,0,3,0,16,1
2020-04-08,23,0,7,3,6,3,10,-6
2020-04-09,25,2,10,3,6,0,9,-1
2020-04-10,25,0,13,3,6,0,6,-3
2020-04-11,25,0,13,0,6,0,6,0
2020-04-12,25,0,18,5,6,0,1,-5
2020-04-13,41,16,18,0,6,0,17,16
2020-04-14,46,5,22,4,6,0,18,1
2020-04-15,47,1,22,0,6,0,19,1
2020-04-16,48,1,22,0,6,0,20,1
2020-04-17,49,1,25,3,7,1,17,-3
2020-04-18,52,3,27,2,7,0,18,1
2020-04-19,52,0,28,1,7,0,17,-1
2020-04-20,54,2,28,0,7,0,19,2
2020-04-21,57,3,31,3,7,0,19,0
2020-04-22,60,3,36,5,7,0,17,-2
2020-04-23,61,1,37,1,7,0,17,0
2020-04-24,62,1,37,0,7,0,18,1
2020-04-25,64,2,37,0,7,0,20,2
2020-04-26,67,3,37,0,7,0,23,3
2020-04-27,68,1,39,2,7,0,22,-1
2020-04-28,78,10,40,1,7,0,31,9
2020-04-29,79,1,43,3,7,0,29,-2
2020-04-30,80,1,43,0,7,0,30,1
2020-05-01,89,9,48,5,7,0,34,4
2020-05-02,99,10,48,0,7,0,44,10
2020-05-03,100,1,48,0,7,0,45,1
2020-05-04,100,0,52,4,7,0,41,-4
2020-05-05,106,6,53,1,7,0,46,5
2020-05-06,107,1,58,5,7,0,42,-4
2020-05-07,122,15,59,1,7,0,56,14
2020-05-08,128,6,59,0,7,0,62,6
2020-05-09,131,3,61,2,7,0,63,1
2020-05-10,138,7,61,0,7,0,70,7
2020-05-11,144,6,67,6,8,1,69,-1
2020-05-12,154,10,67,0,8,0,79,10
2020-05-13,166,12,68,1,8,0,90,11
2020-05-14,170,4,75,7,8,0,87,-3
2020-05-15,173,3,87,12,8,0,78,-9
2020-05-16,179,6,88,1,8,0,83,5
2020-05-17,184,5,91,3,8,0,85,2
2020-05-18,185,1,94,3,8,0,83,-2
2020-05-19,192,7,106,12,8,0,78,-5
2020-05-20,194,2,114,8,8,0,72,-6
