provinsi,tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
JAMBI,2020-03-01,0,0,0,0,0,0,0,0
JAMBI,2020-03-02,0,0,0,0,0,0,0,0
JAMBI,2020-03-03,0,0,0,0,0,0,0,0
JAMBI,2020-03-04,0,0,0,0,0,0,0,0
JAMBI,2020-03-05,0,0,0,0,0,0,0,0
JAMBI,2020-03-06,0,0,0,0,0,0,0,0
JAMBI,2020-03-07,0,0,0,0,0,0,0,0
JAMBI,2020-03-08,0,0,0,0,0,0,0,0
JAMBI,2020-03-09,0,0,0,0,0,0,0,0
JAMBI,2020-03-10,0,0,0,0,0,0,0,0
JAMBI,2020-03-11,0,0,0,0,0,0,0,0
JAMBI,2020-03-12,0,0,0,0,0,0,0,0
JAMBI,2020-03-13,0,0,0,0,0,0,0,0
JAMBI,2020-03-14,0,0,0,0,0,0,0,0
JAMBI,2020-03-15,0,0,0,0,0,0,0,0
JAMBI,2020-03-16,0,0,0,0,0,0,0,0
JAMBI,2020-03-17,0,0,0,0,0,0,0,0
JAMBI,2020-03-18,0,0,0,0,0,0,0,0
JAMBI,2020-03-19,0,0,0,0,0,0,0,0
JAMBI,2020-03-20,0,0,0,0,0,0,0,0
JAMBI,2020-03-21,0,0,0,0,0,0,0,0
JAMBI,2020-03-22,0,0,0,0,0,0,0,0
JAMBI,2020-03-23,0,0,0,0,0,0,0,0
JAMBI,2020-03-24,0,0,0,0,0,0,0,0
JAMBI,2020-03-25,0,0,0,0,0,0,0,0
JAMBI,2020-03-26,0,0,0,0,0,0,0,0
JAMBI,2020-03-27,0,0,0,0,0,0,0,0
JAMBI,2020-03-28,0,0,0,0,0,0,0,0
JAMBI,2020-03-29,0,0,0,0,0,0,0,0
JAMBI,2020-03-30,1,1,0,0,0,0,1,1
JAMBI,2020-03-31,1,0,0,0,0,0,1,0
JAMBI,2020-04-01,1,0,0,0,0,0,1,0
JAMBI,2020-04-02,1,0,0,0,0,0,1,0
JAMBI,2020-04-03,1,0,0,0,0,0,1,0
JAMBI,2020-04-04,1,0,0,0,0,0,1,0
JAMBI,2020-04-05,1,0,0,0,0,0,1,0
JAMBI,2020-04-06,1,0,0,0,0,0,1,0
JAMBI,2020-04-07,1,0,0,0,0,0,1,0
JAMBI,2020-04-08,1,0,0,0,0,0,1,0
JAMBI,2020-04-09,1,0,0,0,0,0,1,0
JAMBI,2020-04-10,1,0,0,0,0,0,1,0
JAMBI,2020-04-11,3,2,0,0,0,0,3,2
JAMBI,2020-04-12,3,0,0,0,0,0,3,0
JAMBI,2020-04-13,3,0,0,0,0,0,3,0
JAMBI,2020-04-14,4,1,0,0,0,0,4,1
JAMBI,2020-04-15,5,1,0,0,0,0,5,1
JAMBI,2020-04-16,6,1,0,0,0,0,6,1
JAMBI,2020-04-17,7,1,0,0,0,0,7,1
JAMBI,2020-04-18,7,0,1,1,0,0,6,-1
JAMBI,2020-04-19,7,0,1,0,0,0,6,0
JAMBI,2020-04-20,7,0,1,0,0,0,6,0
JAMBI,2020-04-21,12,5,1,0,0,0,11,5
JAMBI,2020-04-22,12,0,1,0,0,0,11,0
JAMBI,2020-04-23,13,1,1,0,0,0,12,1
JAMBI,2020-04-24,17,4,1,0,0,0,16,4
JAMBI,2020-04-25,20,3,1,0,0,0,19,3
JAMBI,2020-04-26,31,11,1,0,0,0,30,11
JAMBI,2020-04-27,31,0,1,0,0,0,30,0
JAMBI,2020-04-28,31,0,1,0,0,0,30,0
JAMBI,2020-04-29,31,0,1,0,0,0,30,0
JAMBI,2020-04-30,31,0,1,0,0,0,30,0
JAMBI,2020-05-01,31,0,1,0,0,0,30,0
JAMBI,2020-05-02,31,0,1,0,0,0,30,0
JAMBI,2020-05-03,37,6,1,0,0,0,36,6
JAMBI,2020-05-04,37,0,1,0,0,0,36,0
JAMBI,2020-05-05,42,5,1,0,0,0,41,5
JAMBI,2020-05-06,46,4,1,0,0,0,45,4
