tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
2020-03-01,3,3,0,0,0,0,3,3
2020-03-02,3,0,0,0,0,0,3,0
2020-03-03,4,1,0,0,1,1,3,0
2020-03-04,5,1,0,0,1,0,4,1
2020-03-05,5,0,0,0,1,0,4,0
2020-03-06,6,1,0,0,1,0,5,1
2020-03-07,6,0,0,0,1,0,5,0
2020-03-08,6,0,0,0,1,0,5,0
2020-03-09,6,0,0,0,1,0,5,0
2020-03-10,6,0,0,0,1,0,5,0
2020-03-11,7,1,0,0,2,1,5,0
2020-03-12,8,1,0,0,2,0,6,1
2020-03-13,12,4,4,4,2,0,6,0
2020-03-14,12,0,4,0,2,0,6,0
2020-03-15,12,0,4,0,2,0,6,0
2020-03-16,12,0,4,0,2,0,6,0
2020-03-17,23,11,4,0,2,0,17,11
2020-03-18,28,5,5,1,3,1,20,3
2020-03-19,35,7,5,0,4,1,26,6
2020-03-20,51,16,5,0,6,2,40,14
2020-03-21,56,5,5,0,6,0,45,5
2020-03-22,59,3,5,0,9,3,45,0
2020-03-23,67,8,5,0,11,2,51,6
2020-03-24,68,1,6,1,11,0,51,0
2020-03-25,72,4,6,0,11,0,55,4
2020-03-26,79,7,6,0,11,0,62,7
2020-03-27,105,26,6,0,14,3,85,23
2020-03-28,127,22,7,1,16,2,104,19
2020-03-29,158,31,8,1,18,2,132,28
2020-03-30,183,25,11,3,18,0,154,22
2020-03-31,192,9,11,0,18,0,163,9
2020-04-01,216,24,11,0,18,0,187,24
2020-04-02,236,20,12,1,22,4,202,15
2020-04-03,238,2,13,1,23,1,202,0
2020-04-04,260,22,13,0,25,2,222,20
2020-04-05,270,10,13,0,25,0,232,10
2020-04-06,285,15,14,1,26,1,245,13
2020-04-07,364,79,17,3,26,0,321,76
2020-04-08,387,23,18,1,31,5,338,17
2020-04-09,405,18,20,2,37,6,348,10
2020-04-10,415,10,20,0,37,0,358,10
2020-04-11,450,35,20,0,37,0,393,35
2020-04-12,482,32,21,1,41,4,420,27
2020-04-13,553,71,24,3,50,9,479,59
2020-04-14,556,3,25,1,50,0,481,2
2020-04-15,586,30,26,1,51,1,509,28
2020-04-16,599,13,31,5,52,1,516,7
2020-04-17,658,59,46,15,55,3,557,41
2020-04-18,667,9,46,0,55,0,566,9
2020-04-19,717,50,51,5,56,1,610,44
2020-04-20,743,26,54,3,59,3,630,20
2020-04-21,753,10,73,19,64,5,616,-14
2020-04-22,759,6,76,3,67,3,616,0
2020-04-23,784,25,85,9,70,3,629,13
2020-04-24,856,72,88,3,72,2,696,67
