tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,2,2,0,0,0,0,2,2
2020-03-27,2,0,0,0,0,0,2,0
2020-03-28,3,1,0,0,0,0,3,1
2020-03-29,3,0,0,0,0,0,3,0
2020-03-30,3,0,0,0,0,0,3,0
2020-03-31,5,2,2,2,0,0,3,0
2020-04-01,5,0,2,0,0,0,3,0
2020-04-02,5,0,2,0,0,0,3,0
2020-04-03,7,2,2,0,0,0,5,2
2020-04-04,7,0,4,2,0,0,3,-2
2020-04-05,7,0,4,0,0,0,3,0
2020-04-06,16,9,4,0,0,0,12,9
2020-04-07,16,0,6,2,0,0,10,-2
2020-04-08,16,0,6,0,1,1,9,-1
2020-04-09,16,0,6,0,1,0,9,0
2020-04-10,20,4,7,1,1,0,12,3
2020-04-11,20,0,7,0,1,0,12,0
2020-04-12,20,0,7,0,1,0,12,0
2020-04-13,21,1,8,1,1,0,12,0
2020-04-14,21,0,8,0,2,1,11,-1
2020-04-15,29,8,8,0,2,0,19,8
2020-04-16,30,1,8,0,2,0,20,1
2020-04-17,31,1,8,0,2,0,21,1
2020-04-18,37,6,8,0,3,1,26,5
2020-04-19,42,5,8,0,3,0,31,5
2020-04-20,56,14,9,1,4,1,43,12
2020-04-21,63,7,9,0,5,1,49,6
2020-04-22,78,15,9,0,5,0,64,15
2020-04-23,79,1,9,0,5,0,65,1
2020-04-24,90,11,9,0,5,0,76,11
2020-04-25,96,6,9,0,5,0,82,6
2020-04-26,100,4,10,1,5,0,85,3
2020-04-27,108,8,10,0,5,0,93,8
2020-04-28,117,9,12,2,6,1,99,6
2020-04-29,123,6,12,0,6,0,105,6
2020-04-30,141,18,13,1,6,0,122,17
2020-05-01,152,11,15,2,7,1,130,8
2020-05-02,153,1,15,0,7,0,131,1
2020-05-03,153,0,15,0,7,0,131,0
2020-05-04,176,23,16,1,7,0,153,22
2020-05-05,177,1,16,0,9,2,152,-1
2020-05-06,182,5,29,13,9,0,144,-8
2020-05-07,184,2,29,0,10,1,145,1
2020-05-08,184,0,30,1,10,0,144,-1
2020-05-09,185,1,30,0,10,0,145,1
2020-05-10,189,4,30,0,10,0,149,4
2020-05-11,196,7,30,0,10,0,156,7
2020-05-12,200,4,31,1,10,0,159,3
2020-05-13,216,16,32,1,10,0,174,15
2020-05-14,219,3,42,10,10,0,167,-7
2020-05-15,223,4,49,7,10,0,164,-3
2020-05-16,223,0,49,0,10,0,164,0
2020-05-17,223,0,49,0,10,0,164,0
2020-05-18,223,0,49,0,10,0,164,0
2020-05-19,228,5,49,0,10,0,169,5
2020-05-20,237,9,67,18,10,0,160,-9
2020-05-21,250,13,77,10,10,0,163,3
