provinsi,tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
NUSA TENGGARA BARAT,2020-03-01,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-02,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-03,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-04,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-05,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-06,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-07,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-08,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-09,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-10,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-11,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-12,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-13,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-14,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-15,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-16,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-17,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-18,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-19,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-20,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-21,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-22,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-23,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-24,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-25,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-26,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-27,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-28,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-29,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-30,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,2020-03-31,2,2,0,0,0,0,2,2
NUSA TENGGARA BARAT,2020-04-01,4,2,0,0,0,0,4,2
NUSA TENGGARA BARAT,2020-04-02,4,0,0,0,0,0,4,0
NUSA TENGGARA BARAT,2020-04-03,4,0,0,0,0,0,4,0
NUSA TENGGARA BARAT,2020-04-04,4,0,0,0,0,0,4,0
NUSA TENGGARA BARAT,2020-04-05,4,0,0,0,0,0,4,0
NUSA TENGGARA BARAT,2020-04-06,7,3,0,0,0,0,7,3
NUSA TENGGARA BARAT,2020-04-07,7,0,0,0,0,0,7,0
NUSA TENGGARA BARAT,2020-04-08,7,0,0,0,0,0,7,0
NUSA TENGGARA BARAT,2020-04-09,12,5,2,2,0,0,10,3
NUSA TENGGARA BARAT,2020-04-10,21,9,2,0,0,0,19,9
NUSA TENGGARA BARAT,2020-04-11,23,2,2,0,2,2,19,0
NUSA TENGGARA BARAT,2020-04-12,32,9,2,0,2,0,28,9
NUSA TENGGARA BARAT,2020-04-13,35,3,2,0,2,0,31,3
NUSA TENGGARA BARAT,2020-04-14,35,0,2,0,2,0,31,0
NUSA TENGGARA BARAT,2020-04-15,35,0,2,0,2,0,31,0
NUSA TENGGARA BARAT,2020-04-16,43,8,2,0,2,0,39,8
NUSA TENGGARA BARAT,2020-04-17,49,6,2,0,2,0,45,6
NUSA TENGGARA BARAT,2020-04-18,53,4,2,0,2,0,49,4
NUSA TENGGARA BARAT,2020-04-19,59,6,11,9,3,1,45,-4
NUSA TENGGARA BARAT,2020-04-20,70,11,11,0,4,1,55,10
NUSA TENGGARA BARAT,2020-04-21,91,21,11,0,4,0,76,21
NUSA TENGGARA BARAT,2020-04-22,106,15,11,0,4,0,91,15
NUSA TENGGARA BARAT,2020-04-23,113,7,13,2,4,0,96,5
NUSA TENGGARA BARAT,2020-04-24,151,38,15,2,4,0,132,36
NUSA TENGGARA BARAT,2020-04-25,178,27,20,5,4,0,154,22
NUSA TENGGARA BARAT,2020-04-26,193,15,20,0,4,0,169,15
NUSA TENGGARA BARAT,2020-04-27,204,11,22,2,4,0,178,9
