provinsi,tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
SULAWESI TENGAH,2020-03-01,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-02,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-03,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-04,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-05,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-06,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-07,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-08,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-09,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-10,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-11,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-12,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-13,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-14,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-15,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-16,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-17,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-18,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-19,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-20,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-21,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-22,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-23,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-24,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-25,0,0,0,0,0,0,0,0
SULAWESI TENGAH,2020-03-26,1,1,0,0,0,0,1,1
SULAWESI TENGAH,2020-03-27,1,0,0,0,0,0,1,0
SULAWESI TENGAH,2020-03-28,2,1,0,0,0,0,2,1
SULAWESI TENGAH,2020-03-29,2,0,0,0,0,0,2,0
SULAWESI TENGAH,2020-03-30,2,0,0,0,0,0,2,0
SULAWESI TENGAH,2020-03-31,2,0,0,0,0,0,2,0
SULAWESI TENGAH,2020-04-01,2,0,0,0,0,0,2,0
SULAWESI TENGAH,2020-04-02,2,0,0,0,1,1,1,-1
SULAWESI TENGAH,2020-04-03,4,2,0,0,2,1,2,1
SULAWESI TENGAH,2020-04-04,4,0,0,0,2,0,2,0
SULAWESI TENGAH,2020-04-05,5,1,0,0,2,0,3,1
SULAWESI TENGAH,2020-04-06,5,0,0,0,2,0,3,0
SULAWESI TENGAH,2020-04-07,5,0,2,2,2,0,1,-2
SULAWESI TENGAH,2020-04-08,5,0,2,0,2,0,1,0
SULAWESI TENGAH,2020-04-09,5,0,2,0,2,0,1,0
SULAWESI TENGAH,2020-04-10,14,9,2,0,2,0,10,9
SULAWESI TENGAH,2020-04-11,19,5,2,0,2,0,15,5
SULAWESI TENGAH,2020-04-12,19,0,2,0,2,0,15,0
SULAWESI TENGAH,2020-04-13,19,0,2,0,3,1,14,-1
SULAWESI TENGAH,2020-04-14,19,0,2,0,3,0,14,0
SULAWESI TENGAH,2020-04-15,22,3,2,0,3,0,17,3
SULAWESI TENGAH,2020-04-16,22,0,2,0,3,0,17,0
SULAWESI TENGAH,2020-04-17,24,2,2,0,3,0,19,2
SULAWESI TENGAH,2020-04-18,24,0,2,0,3,0,19,0
SULAWESI TENGAH,2020-04-19,27,3,2,0,3,0,22,3
SULAWESI TENGAH,2020-04-20,27,0,2,0,3,0,22,0
SULAWESI TENGAH,2020-04-21,27,0,3,1,3,0,21,-1
SULAWESI TENGAH,2020-04-22,29,2,3,0,3,0,23,2
SULAWESI TENGAH,2020-04-23,29,0,3,0,3,0,23,0
SULAWESI TENGAH,2020-04-24,32,3,3,0,3,0,26,3
SULAWESI TENGAH,2020-04-25,36,4,3,0,3,0,30,4
SULAWESI TENGAH,2020-04-26,36,0,4,1,3,0,29,-1
SULAWESI TENGAH,2020-04-27,36,0,4,0,3,0,29,0
SULAWESI TENGAH,2020-04-28,42,6,8,4,3,0,31,2
SULAWESI TENGAH,2020-04-29,47,5,8,0,3,0,36,5
SULAWESI TENGAH,2020-04-30,47,0,8,0,3,0,36,0
SULAWESI TENGAH,2020-05-01,47,0,11,3,3,0,33,-3
SULAWESI TENGAH,2020-05-02,59,12,11,0,3,0,45,12
SULAWESI TENGAH,2020-05-03,59,0,11,0,3,0,45,0
SULAWESI TENGAH,2020-05-04,59,0,11,0,3,0,45,0
SULAWESI TENGAH,2020-05-05,70,11,12,1,3,0,55,10
SULAWESI TENGAH,2020-05-06,70,0,12,0,3,0,55,0
SULAWESI TENGAH,2020-05-07,75,5,12,0,3,0,60,5
SULAWESI TENGAH,2020-05-08,75,0,12,0,3,0,60,0
SULAWESI TENGAH,2020-05-09,75,0,12,0,3,0,60,0
SULAWESI TENGAH,2020-05-10,83,8,12,0,3,0,68,8
SULAWESI TENGAH,2020-05-11,83,0,13,1,3,0,67,-1
SULAWESI TENGAH,2020-05-12,95,12,13,0,3,0,79,12
SULAWESI TENGAH,2020-05-13,102,7,20,7,4,1,78,-1
SULAWESI TENGAH,2020-05-14,111,9,21,1,4,0,86,8
SULAWESI TENGAH,2020-05-15,112,1,21,0,4,0,87,1
SULAWESI TENGAH,2020-05-16,113,1,22,1,4,0,87,0
SULAWESI TENGAH,2020-05-17,115,2,24,2,4,0,87,0
SULAWESI TENGAH,2020-05-18,115,0,26,2,4,0,85,-2
SULAWESI TENGAH,2020-05-19,115,0,26,0,4,0,85,0
SULAWESI TENGAH,2020-05-20,115,0,26,0,4,0,85,0
SULAWESI TENGAH,2020-05-21,117,2,37,11,4,0,76,-9
SULAWESI TENGAH,2020-05-22,118,1,37,0,4,0,77,1
SULAWESI TENGAH,2020-05-23,120,2,37,0,4,0,79,2
SULAWESI TENGAH,2020-05-24,120,0,46,9,4,0,70,-9
SULAWESI TENGAH,2020-05-25,120,0,46,0,4,0,70,0
SULAWESI TENGAH,2020-05-26,120,0,48,2,4,0,68,-2
SULAWESI TENGAH,2020-05-27,120,0,50,2,4,0,66,-2
SULAWESI TENGAH,2020-05-28,126,6,52,2,4,0,70,4
SULAWESI TENGAH,2020-05-29,126,0,52,0,4,0,70,0
SULAWESI TENGAH,2020-05-30,126,0,52,0,4,0,70,0
SULAWESI TENGAH,2020-05-31,128,2,61,9,4,0,63,-7
SULAWESI TENGAH,2020-06-01,128,0,61,0,4,0,63,0
SULAWESI TENGAH,2020-06-02,128,0,61,0,4,0,63,0
SULAWESI TENGAH,2020-06-03,129,1,64,3,4,0,61,-2
SULAWESI TENGAH,2020-06-04,129,0,70,6,4,0,55,-6
SULAWESI TENGAH,2020-06-05,136,7,78,8,4,0,54,-1
SULAWESI TENGAH,2020-06-06,139,3,87,9,4,0,48,-6
SULAWESI TENGAH,2020-06-07,159,20,94,7,4,0,61,13
SULAWESI TENGAH,2020-06-08,159,0,94,0,4,0,61,0
SULAWESI TENGAH,2020-06-09,159,0,94,0,4,0,61,0
SULAWESI TENGAH,2020-06-10,159,0,95,1,4,0,60,-1
SULAWESI TENGAH,2020-06-11,159,0,96,1,4,0,59,-1
SULAWESI TENGAH,2020-06-12,159,0,96,0,4,0,59,0
SULAWESI TENGAH,2020-06-13,168,9,97,1,4,0,67,8
SULAWESI TENGAH,2020-06-14,170,2,115,18,4,0,51,-16
SULAWESI TENGAH,2020-06-15,171,1,121,6,4,0,46,-5
SULAWESI TENGAH,2020-06-16,172,1,125,4,4,0,43,-3
SULAWESI TENGAH,2020-06-17,172,0,129,4,4,0,39,-4
SULAWESI TENGAH,2020-06-18,172,0,130,1,4,0,38,-1
SULAWESI TENGAH,2020-06-19,173,1,130,0,4,0,39,1
SULAWESI TENGAH,2020-06-20,173,0,131,1,4,0,38,-1
SULAWESI TENGAH,2020-06-21,173,0,132,1,4,0,37,-1
SULAWESI TENGAH,2020-06-22,176,3,132,0,4,0,40,3
SULAWESI TENGAH,2020-06-23,179,3,140,8,4,0,35,-5
SULAWESI TENGAH,2020-06-24,180,1,141,1,5,1,34,-1
SULAWESI TENGAH,2020-06-25,181,1,145,4,5,0,31,-3
SULAWESI TENGAH,2020-06-26,183,2,147,2,5,0,31,0
SULAWESI TENGAH,2020-06-27,0,0,0,0,0,0,0,0
