tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,1,1,0,0,0,0,1,1
2020-03-11,1,0,0,0,0,0,1,0
2020-03-12,1,0,0,0,0,0,1,0
2020-03-13,1,0,0,0,0,0,1,0
2020-03-14,1,0,0,0,0,0,1,0
2020-03-15,1,0,0,0,0,0,1,0
2020-03-16,3,2,0,0,0,0,3,2
2020-03-17,3,0,0,0,0,0,3,0
2020-03-18,3,0,0,0,0,0,3,0
2020-03-19,3,0,0,0,0,0,3,0
2020-03-20,3,0,0,0,0,0,3,0
2020-03-21,3,0,0,0,0,0,3,0
2020-03-22,3,0,0,0,0,0,3,0
2020-03-23,3,0,0,0,0,0,3,0
2020-03-24,3,0,0,0,0,0,3,0
2020-03-25,3,0,0,0,0,0,3,0
2020-03-26,3,0,0,0,0,0,3,0
2020-03-27,3,0,0,0,0,0,3,0
2020-03-28,3,0,0,0,0,0,3,0
2020-03-29,3,0,0,0,0,0,3,0
2020-03-30,3,0,0,0,0,0,3,0
2020-03-31,3,0,0,0,0,0,3,0
2020-04-01,3,0,0,0,0,0,3,0
2020-04-02,3,0,0,0,0,0,3,0
2020-04-03,5,2,0,0,0,0,5,2
2020-04-04,5,0,1,1,0,0,4,-1
2020-04-05,5,0,1,0,0,0,4,0
2020-04-06,6,1,1,0,0,0,5,1
2020-04-07,6,0,1,0,0,0,5,0
2020-04-08,10,4,1,0,0,0,9,4
2020-04-09,15,5,1,0,0,0,14,5
2020-04-10,15,0,1,0,0,0,14,0
2020-04-11,16,1,1,0,1,1,14,0
2020-04-12,16,0,1,0,1,0,14,0
2020-04-13,16,0,1,0,1,0,14,0
2020-04-14,16,0,1,0,1,0,14,0
2020-04-15,24,8,4,3,1,0,19,5
2020-04-16,27,3,4,0,1,0,22,3
2020-04-17,27,0,4,0,1,0,22,0
2020-04-18,27,0,4,0,2,1,21,-1
2020-04-19,36,9,4,0,2,0,30,9
2020-04-20,36,0,4,0,2,0,30,0
2020-04-21,36,0,4,0,2,0,30,0
2020-04-22,36,0,4,0,2,0,30,0
2020-04-23,36,0,4,0,2,0,30,0
2020-04-24,41,5,5,1,2,0,34,4
2020-04-25,41,0,5,0,2,0,34,0
2020-04-26,45,4,6,1,2,0,37,3
2020-04-27,45,0,6,0,2,0,37,0
2020-04-28,45,0,6,0,2,0,37,0
2020-04-29,53,8,6,0,2,0,45,8
2020-04-30,62,9,10,4,2,0,50,5
2020-05-01,62,0,11,1,2,0,49,-1
2020-05-02,64,2,11,0,2,0,51,2
2020-05-03,64,0,11,0,3,1,50,-1
2020-05-04,64,0,11,0,3,0,50,0
2020-05-05,69,5,15,4,3,0,51,1
2020-05-06,69,0,15,0,3,0,51,0
2020-05-07,69,0,15,0,3,0,51,0
2020-05-08,70,1,15,0,3,0,52,1
2020-05-09,71,1,15,0,3,0,53,1
2020-05-10,76,5,16,1,3,0,57,4
2020-05-11,76,0,16,0,3,0,57,0
2020-05-12,76,0,16,0,3,0,57,0
2020-05-13,166,90,17,1,4,1,145,88
2020-05-14,166,0,17,0,4,0,145,0
2020-05-15,183,17,19,2,4,0,160,15
2020-05-16,189,6,19,0,4,0,166,6
2020-05-17,191,2,19,0,4,0,168,2
2020-05-18,191,0,20,1,4,0,167,-1
2020-05-19,202,11,25,5,4,0,173,6
2020-05-20,202,0,25,0,4,0,173,0
2020-05-21,202,0,25,0,4,0,173,0
