levelKerawanan,jumlah_penduduk,total,density,kode_kecamatan,nama_kecamatan,nama_kabupatenKota,nama_provinsi
2,932,57,0.061159,910514,Pulau Yerui,KAB. KEPULAUAN YAPEN,PAPUA
2,417781,4054,0.009704,317202,Tanjung Priok,KOTA ADM. JAKARTA UTARA,DKI JAKARTA
2,98233,790,0.008042,190201,Tanjung Pandan,KAB. BELITUNG,KEPULAUAN BANGKA BELITUNG
2,6555,51,0.007780,621302,Banua Lima,KAB. BARITO TIMUR,KALIMANTAN TENGAH
2,21043,115,0.005465,750404,Marisa,KAB. PAHUWATO,GORONTALO
2,19401,103,0.005309,911401,Karubaga,KAB. TOLIKARA,PAPUA
2,10734,55,0.005124,150212,Batang Masumai,KAB. MERANGIN,JAMBI
2,2399,12,0.005002,740617,Kep. Masaloka Raya,KAB. BOMBANA,SULAWESI TENGGARA
2,264252,1319,0.004991,317103,Kemayoran,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA
2,101597,474,0.004665,317105,Cempaka Putih,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA
2,923,4,0.004334,920143,Sorong,KAB. SORONG,PAPUA BARAT
2,89198,375,0.004204,627101,Pahandut,KOTA PALANGKARAYA,KALIMANTAN TENGAH
2,11229,47,0.004186,750402,Lemito,KAB. PAHUWATO,GORONTALO
2,133421,551,0.004130,317102,Sawah Besar,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA
2,53626,206,0.003841,510301,Kuta,KAB. BADUNG,BALI
2,16485,61,0.003700,731704,Bajo,KAB. LUWU,SULAWESI SELATAN
2,14055,52,0.003700,731406,Kulo,KAB. SIDENRENG RAPPANG,SULAWESI SELATAN
2,5961,22,0.003691,910804,Aradide,KAB. PANIAI,PAPUA
2,60369,218,0.003611,737101,Mariso,KOTA MAKASSAR,SULAWESI SELATAN
2,6216,22,0.003539,121223,Bonatua Lunasi,KAB. TOBA SAMOSIR,SUMATERA UTARA
2,128934,456,0.003537,317104,Senen,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA
2,181729,616,0.003390,317107,Tanah Abang,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA
2,1304,4,0.003067,910318,Gresi Selatan,KAB. JAYAPURA,PAPUA
2,70815,211,0.002980,917105,Heram,KOTA JAYAPURA,PAPUA
2,122305,358,0.002927,340407,Depok,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,354416,1037,0.002926,317409,Jagakarsa,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA
2,190742,558,0.002925,317501,Matraman,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,31981,92,0.002877,747103,Baruga,KOTA KENDARI,SULAWESI TENGGARA
2,105927,304,0.002870,510305,Kuta Selatan,KAB. BADUNG,BALI
2,130049,365,0.002807,317303,Taman Sari,KOTA ADM. JAKARTA BARAT,DKI JAKARTA
2,100849,279,0.002767,317101,Gambir,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA
2,65907,182,0.002761,357819,Benowo,KOTA SURABAYA,JAWA TIMUR
2,101826,281,0.002760,910101,Merauke,KAB. MERAUKE,PAPUA
2,272428,747,0.002742,367403,Pondok Aren,KOTA TANGERANG SELATAN,BANTEN
2,10252,28,0.002731,620604,Pulau Malan,KAB. KATINGAN,KALIMANTAN TENGAH
2,150935,407,0.002697,327603,Sawangan,KOTA DEPOK,JAWA BARAT
2,4502,12,0.002665,121504,Sitelu Tali Urang Julu,KAB. PAKPAK BHARAT,SUMATERA UTARA
2,153793,409,0.002659,367101,Tangerang,KOTA TANGERANG,BANTEN
2,59591,158,0.002651,337409,Gajahmungkur,KOTA SEMARANG,JAWA TENGAH
2,88723,235,0.002649,527101,Ampenan,KOTA MATARAM,NUSA TENGGARA BARAT
2,7976,21,0.002633,150215,Tabir Timur,KAB. MERANGIN,JAMBI
2,7290,19,0.002606,910203,Kurulu,KAB. JAYAWIJAYA,PAPUA
2,7465,19,0.002545,121220,Siantar Narumonda,KAB. TOBA SAMOSIR,SUMATERA UTARA
2,68507,171,0.002496,337407,Semarang Selatan,KOTA SEMARANG,JAWA TENGAH
2,8461,21,0.002482,620401,Jenamas,KAB. BARITO SELATAN,KALIMANTAN TENGAH
2,168947,419,0.002480,317205,Pademangan,KOTA ADM. JAKARTA UTARA,DKI JAKARTA
2,141058,346,0.002453,627103,Jekan Raya,KOTA PALANGKARAYA,KALIMANTAN TENGAH
2,158722,389,0.002451,317403,Mampang Prapatan,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA
2,222898,545,0.002445,317406,Cilandak,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA
2,91872,224,0.002438,317106,Menteng,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA
2,307774,747,0.002427,317502,Pulogadung,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,12362,30,0.002427,610714,Sungai Betung,KAB. BENGKAYANG,KALIMANTAN BARAT
2,38549,92,0.002387,621201,Murung,KAB. MURUNG RAYA,KALIMANTAN TENGAH
2,203881,479,0.002349,367105,Cipondoh,KOTA TANGERANG,BANTEN
2,42818,100,0.002335,347103,Gondokusuman,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,344168,797,0.002316,317203,Koja,KOTA ADM. JAKARTA UTARA,DKI JAKARTA
2,75437,174,0.002307,910301,Sentani,KAB. JAYAPURA,PAPUA
2,108426,249,0.002296,352514,Kebomas,KAB. GRESIK,JAWA TIMUR
2,10891,25,0.002295,820610,Kota Maba,KAB. HALMAHERA TIMUR,MALUKU UTARA
2,142815,327,0.002290,317206,Kelapa Gading,KOTA ADM. JAKARTA UTARA,DKI JAKARTA
2,271422,603,0.002222,327501,Bekasi Timur,KOTA BEKASI,JAWA BARAT
2,200960,446,0.002219,367404,Ciputat,KOTA TANGERANG SELATAN,BANTEN
2,326125,722,0.002214,317503,Jatinegara,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,145793,322,0.002209,317108,Johar Baru,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA
2,128282,283,0.002206,917103,Abepura,KOTA JAYAPURA,PAPUA
2,96996,213,0.002196,340412,Ngaglik,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,115676,252,0.002178,357803,Rungkut,KOTA SURABAYA,JAWA TIMUR
2,21174,46,0.002172,920518,Kota Waisai,KAB. RAJA AMPAT,PAPUA BARAT
2,92083,200,0.002172,340406,Mlati,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,329949,714,0.002164,327503,Bekasi Utara,KOTA BEKASI,JAWA BARAT
2,145654,315,0.002163,367401,Serpong,KOTA TANGERANG SELATAN,BANTEN
2,78286,169,0.002159,527102,Mataram,KOTA MATARAM,NUSA TENGGARA BARAT
2,2788,6,0.002152,910511,Wonawa,KAB. KEPULAUAN YAPEN,PAPUA
2,3255,7,0.002151,627105,Rakumpit,KOTA PALANGKARAYA,KALIMANTAN TENGAH
2,439936,945,0.002148,317507,Duren Sawit,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,242754,521,0.002146,317401,Tebet,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA
2,97249,207,0.002129,357901,Batu,KOTA BATU,JAWA TIMUR
2,259614,544,0.002095,317410,Pesanggrahan,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA
2,136525,285,0.002088,367106,Ciledug,KOTA TANGERANG,BANTEN
2,8641,18,0.002083,750207,Paguyaman Pantai,KAB. BOALEMO,GORONTALO
2,85015,177,0.002082,167106,Ilir Timur II,KOTA PALEMBANG,SUMATERA SELATAN
2,156933,326,0.002077,317407,Kebayoran Baru,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA
2,62854,130,0.002068,337401,Semarang Tengah,KOTA SEMARANG,JAWA TENGAH
2,283204,582,0.002055,317510,Cipayung,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,73534,151,0.002053,357801,Karangpilang,KOTA SURABAYA,JAWA TIMUR
2,168477,345,0.002048,367111,Pinang,KOTA TANGERANG,BANTEN
2,235290,478,0.002032,320107,Cileungsi,KAB. BOGOR,JAWA BARAT
2,17776,36,0.002025,721201,Petasia,KAB. MOROWALI UTARA,SULAWESI TENGAH
2,203412,410,0.002016,321607,Cibitung,KAB. BEKASI,JAWA BARAT
2,1986,4,0.002014,650210,Kayan Selatan,KAB. MALINAU,KALIMANTAN UTARA
2,91442,183,0.002001,357814,Tandes,KOTA SURABAYA,JAWA TIMUR
2,64025,128,0.001999,357831,Sambikerep,KOTA SURABAYA,JAWA TIMUR
2,59329,118,0.001989,357821,Dukuh Pakis,KOTA SURABAYA,JAWA TIMUR
2,2520,5,0.001984,910904,Mimika Barat,KAB. MIMIKA,PAPUA
2,114995,227,0.001974,357815,Krembangan,KOTA SURABAYA,JAWA TIMUR
2,231882,457,0.001971,317307,Pal Merah,KOTA ADM. JAKARTA BARAT,DKI JAKARTA
2,56866,112,0.001970,340309,Karangmojo,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA
2,140597,276,0.001963,647105,Balikpapan Selatan,KOTA BALIKPAPAN,KALIMANTAN TIMUR
2,240955,469,0.001946,317302,Grogol Petamburan,KOTA ADM. JAKARTA BARAT,DKI JAKARTA
2,130075,252,0.001937,327316,Kiaracondong,KOTA BANDUNG,JAWA BARAT
2,56523,109,0.001928,357830,Pakal,KOTA SURABAYA,JAWA TIMUR
2,141763,273,0.001926,321619,Cikarang Selatan,KAB. BEKASI,JAWA BARAT
2,1565,3,0.001917,121506,Pagindar,KAB. PAKPAK BHARAT,SUMATERA UTARA
2,27132,52,0.001917,347102,Jetis,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,208092,398,0.001913,321609,Cikarang Utara,KAB. BEKASI,JAWA BARAT
2,177574,339,0.001909,217110,Batam Kota,KOTA BATAM,KEPULAUAN RIAU
2,111955,213,0.001903,340212,Banguntapan,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
2,103947,196,0.001886,737114,Tamalanrea,KOTA MAKASSAR,SULAWESI SELATAN
2,104089,196,0.001883,510401,Sukawati,KAB. GIANYAR,BALI
