date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-29,1,1,0,0,0,0,1,1
2020-03-30,10,9,0,0,0,0,10,9
2020-03-31,10,0,3,3,0,0,7,-3
2020-04-01,16,6,5,2,0,0,11,4
2020-04-02,16,0,5,0,0,0,11,0
2020-04-03,19,3,5,0,0,0,14,3
2020-04-04,24,5,5,0,0,0,19,5
2020-04-05,27,3,13,8,0,0,14,-5
2020-04-06,34,7,13,0,0,0,21,7
2020-04-07,34,0,13,0,0,0,21,0
2020-04-08,40,6,13,0,0,0,27,6
2020-04-09,54,14,13,0,0,0,41,14
2020-04-10,66,12,14,1,0,0,52,11
2020-04-11,70,4,14,0,0,0,56,4
2020-04-12,72,2,14,0,0,0,58,2
2020-04-13,77,5,15,1,0,0,62,4
2020-04-14,83,6,16,1,0,0,67,5
2020-04-15,89,6,16,0,0,0,73,6
2020-04-16,104,15,25,9,0,0,79,6
2020-04-17,115,11,30,5,0,0,85,6
2020-04-18,122,7,30,0,0,0,92,7
2020-04-19,126,4,32,2,1,1,93,1
2020-04-20,131,5,36,4,1,0,94,1
2020-04-21,141,10,36,0,1,0,104,10
2020-04-22,143,2,41,5,2,1,100,-4
2020-04-23,158,15,49,8,2,0,107,7
2020-04-24,168,10,51,2,2,0,115,8
2020-04-25,174,6,64,13,2,0,108,-7
2020-04-26,177,3,69,5,2,0,106,-2
2020-04-27,184,7,75,6,2,0,107,1
2020-04-28,206,22,82,7,2,0,122,15
2020-04-29,206,0,90,8,2,0,114,-8
2020-04-30,213,7,107,17,2,0,104,-10
2020-05-01,226,13,115,8,2,0,109,5
2020-05-02,228,2,123,8,2,0,103,-6
2020-05-03,253,25,145,22,2,0,106,3
2020-05-04,262,9,153,8,2,0,107,1
2020-05-05,268,6,154,1,2,0,112,5
2020-05-06,268,0,160,6,2,0,106,-6
2020-05-07,278,10,177,17,2,0,99,-7
2020-05-08,291,13,189,12,2,0,100,1
2020-05-09,297,6,191,2,2,0,104,4
2020-05-10,302,5,198,7,2,0,102,-2
2020-05-11,305,3,204,6,2,0,99,-3
2020-05-12,319,14,209,5,2,0,108,9
2020-05-13,323,4,214,5,2,0,107,-1
2020-05-14,328,5,217,3,2,0,109,2
2020-05-15,334,6,226,9,2,0,106,-3
2020-05-16,337,3,237,11,2,0,98,-8
2020-05-17,339,2,243,6,2,0,94,-4
2020-05-18,350,11,250,7,2,0,98,4
2020-05-19,354,4,260,10,2,0,92,-6
2020-05-20,362,8,269,9,2,0,91,-1
2020-05-21,365,3,273,4,2,0,90,-1
2020-05-22,371,6,277,4,2,0,92,2
2020-05-23,379,8,280,3,2,0,97,5
2020-05-24,385,6,286,6,2,0,97,0
