date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,1,1,0,0,0,0,1,1
2020-03-07,1,0,0,0,0,0,1,0
2020-03-08,2,1,0,0,0,0,2,1
2020-03-09,2,0,0,0,0,0,2,0
2020-03-10,2,0,0,0,0,0,2,0
2020-03-11,2,0,0,0,0,0,2,0
2020-03-12,2,0,0,0,1,1,1,-1
2020-03-13,3,1,0,0,1,0,2,1
2020-03-14,4,1,0,0,1,0,3,1
2020-03-15,5,1,0,0,1,0,4,1
2020-03-16,6,1,0,0,1,0,5,1
2020-03-17,6,0,0,0,2,1,4,-1
2020-03-18,6,0,0,0,2,0,4,0
2020-03-19,6,0,0,0,3,1,3,-1
2020-03-20,6,0,0,0,4,1,2,-1
2020-03-21,6,0,0,0,4,0,2,0
2020-03-22,6,0,0,0,4,0,2,0
2020-03-23,6,0,0,0,4,0,2,0
2020-03-24,6,0,1,1,4,0,1,-1
2020-03-25,6,0,1,0,4,0,1,0
2020-03-26,6,0,2,1,4,0,0,-1
2020-03-27,31,25,2,0,4,0,25,25
2020-03-28,41,10,3,1,4,0,34,9
2020-03-29,43,2,3,0,6,2,34,0
2020-03-30,65,22,3,0,6,0,56,22
2020-03-31,79,14,3,0,14,8,62,6
2020-04-01,91,12,8,5,14,0,69,7
2020-04-02,97,6,8,0,15,1,74,5
2020-04-03,101,4,8,0,18,3,75,1
2020-04-04,104,3,8,0,18,0,78,3
2020-04-05,108,4,8,0,18,0,82,4
2020-04-06,117,9,9,1,19,1,89,7
2020-04-07,123,6,9,0,20,1,94,5
2020-04-08,142,19,9,0,20,0,113,19
2020-04-09,145,3,9,0,22,2,114,1
2020-04-10,166,21,9,0,23,1,134,20
2020-04-11,197,31,10,1,23,0,164,30
2020-04-12,199,2,11,1,23,0,165,1
2020-04-13,202,3,11,0,24,1,167,2
2020-04-14,207,5,11,0,24,0,172,5
2020-04-15,207,0,12,1,26,2,169,-3
2020-04-16,222,15,12,0,32,6,178,9
2020-04-17,231,9,12,0,34,2,185,7
2020-04-18,242,11,12,0,34,0,196,11
2020-04-19,245,3,12,0,34,0,199,3
2020-04-20,274,29,18,6,34,0,222,23
2020-04-21,274,0,18,0,34,0,222,0
2020-04-22,275,1,29,11,34,0,212,-10
2020-04-23,278,3,29,0,34,0,215,3
2020-04-24,301,23,33,4,38,4,230,15
2020-04-25,312,11,33,0,38,0,241,11
2020-04-26,312,0,33,0,38,0,241,0
2020-04-27,324,12,33,0,39,1,252,11
2020-04-28,330,6,33,0,40,1,257,5
2020-04-29,330,0,33,0,40,0,257,0
2020-04-30,346,16,34,1,40,0,272,15
2020-05-01,360,14,34,0,40,0,286,14
2020-05-02,369,9,34,0,40,0,295,9
2020-05-03,374,5,34,0,40,0,300,5
2020-05-04,388,14,34,0,40,0,314,14
2020-05-05,398,10,117,83,40,0,241,-73
2020-05-06,427,29,122,5,40,0,265,24
2020-05-07,427,0,122,0,55,15,250,-15
2020-05-08,447,20,122,0,55,0,270,20
2020-05-09,467,20,122,0,55,0,290,20
2020-05-10,477,10,122,0,55,0,300,10
2020-05-11,485,8,146,24,55,0,284,-16
2020-05-12,503,18,153,7,55,0,295,11
2020-05-13,523,20,157,4,56,1,310,15
2020-05-14,537,14,158,1,56,0,323,13
2020-05-15,565,28,158,0,59,3,348,25
2020-05-16,565,0,158,0,60,1,347,-1
2020-05-17,589,24,159,1,60,0,370,23
2020-05-18,620,31,162,3,61,1,397,27
2020-05-19,641,21,162,0,61,0,418,21
2020-05-20,642,1,162,0,61,0,419,1
2020-05-21,695,53,171,9,64,3,460,41
2020-05-22,710,15,172,1,65,1,473,13
2020-05-23,710,0,172,0,65,0,473,0
2020-05-24,731,21,176,4,65,0,490,17
