date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,2,2,0,0,0,0,2,2
2020-03-02,4,2,0,0,0,0,4,2
2020-03-03,6,2,0,0,0,0,6,2
2020-03-04,8,2,0,0,0,0,8,2
2020-03-05,8,0,0,0,1,1,7,-1
2020-03-06,8,0,0,0,1,0,7,0
2020-03-07,8,0,0,0,3,2,5,-2
2020-03-08,8,0,0,0,3,0,5,0
2020-03-09,8,0,0,0,4,1,4,-1
2020-03-10,8,0,0,0,4,0,4,0
2020-03-11,8,0,0,0,4,0,4,0
2020-03-12,8,0,4,4,5,1,-1,-5
2020-03-13,8,0,7,3,6,1,-5,-4
2020-03-14,9,1,8,1,7,1,-6,-1
2020-03-15,15,6,8,0,10,3,-3,3
2020-03-16,15,0,8,0,13,3,-6,-3
2020-03-17,16,1,8,0,14,1,-6,0
2020-03-18,16,0,8,0,15,1,-7,-1
2020-03-19,17,1,9,1,15,0,-7,0
2020-03-20,18,1,10,1,18,3,-10,-3
2020-03-21,18,0,16,6,21,3,-19,-9
2020-03-22,18,0,19,3,21,0,-22,-3
2020-03-23,18,0,19,0,21,0,-22,0
2020-03-24,18,0,22,3,40,19,-44,-22
2020-03-25,18,0,22,0,41,1,-45,-1
2020-03-26,74,56,22,0,43,2,9,54
2020-03-27,142,68,28,6,50,7,64,55
2020-03-28,183,41,37,9,59,9,87,23
2020-03-29,232,49,37,0,69,10,126,39
2020-03-30,263,31,37,0,76,7,150,24
2020-03-31,305,42,37,0,85,9,183,33
2020-04-01,364,59,37,0,86,1,241,58
2020-04-02,433,69,39,2,91,5,303,62
2020-04-03,503,70,41,2,97,6,365,62
2020-04-04,558,55,46,5,105,8,407,42
2020-04-05,643,85,48,2,116,11,479,72
2020-04-06,741,98,55,7,123,7,563,84
2020-04-07,851,110,58,3,137,14,656,93
2020-04-08,937,86,63,5,145,8,729,73
2020-04-09,1163,226,68,5,179,34,916,187
2020-04-10,1212,49,72,4,190,11,950,34
2020-04-11,1397,185,79,7,200,10,1118,168
2020-04-12,1519,122,116,37,233,33,1170,52
2020-04-13,1653,134,117,1,240,7,1296,126
2020-04-14,1775,122,117,0,250,10,1408,112
2020-04-15,1903,128,137,20,259,9,1507,99
2020-04-16,2077,174,137,0,260,1,1680,173
2020-04-17,2216,139,172,35,267,7,1777,97
2020-04-18,2316,100,173,1,274,7,1869,92
2020-04-19,2414,98,198,25,277,3,1939,70
2020-04-20,2484,70,205,7,282,5,1997,58
2020-04-21,2633,149,264,59,284,2,2085,88
2020-04-22,2741,108,272,8,285,1,2184,99
2020-04-23,2863,122,276,4,285,0,2302,118
2020-04-24,2941,78,277,1,285,0,2379,77
2020-04-25,3019,78,284,7,303,18,2432,53
2020-04-26,3123,104,285,1,310,7,2528,96
2020-04-27,3188,65,286,1,323,13,2579,51
2020-04-28,3312,124,308,22,326,3,2678,99
2020-04-29,3398,86,382,74,326,0,2690,12
2020-04-30,3481,83,428,46,326,0,2727,37
2020-05-01,3616,135,430,2,330,4,2856,129
2020-05-02,3686,70,454,24,347,17,2885,29
2020-05-03,3744,58,566,112,352,5,2826,-59
2020-05-04,3816,72,569,3,360,8,2887,61
2020-05-05,3947,131,635,66,361,1,2951,64
2020-05-06,4050,103,672,37,366,5,3012,61
2020-05-07,4132,82,675,3,374,8,3083,71
2020-05-08,4228,96,675,0,375,1,3178,95
2020-05-09,4326,98,680,5,378,3,3268,90
2020-05-10,4450,124,729,49,384,6,3337,69
2020-05-11,4530,80,738,9,390,6,3402,65
2020-05-12,4624,94,845,107,392,2,3387,-15
2020-05-13,4802,178,941,96,398,6,3463,76
2020-05-14,4932,130,1075,134,400,2,3457,-6
2020-05-15,5014,82,1181,106,407,7,3426,-31
2020-05-16,5114,100,1199,18,407,0,3508,82
2020-05-17,5241,127,1210,11,410,3,3621,113
2020-05-18,5320,79,1210,0,410,0,3700,79
2020-05-19,5413,93,1231,21,417,7,3765,65
2020-05-20,5497,84,1234,3,418,1,3845,80
2020-05-21,5566,69,1364,130,426,8,3776,-69
2020-05-22,5669,103,1419,55,455,29,3795,19
2020-05-23,5780,111,1473,54,456,1,3851,56
2020-05-24,5892,112,1493,20,456,0,3943,92
2020-05-25,5967,75,1558,65,456,0,3953,10
2020-05-26,6054,87,1571,13,456,0,4027,74
2020-05-27,6162,108,1587,16,464,8,4111,84
