date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,2,2,0,0,0,0,2,2
2020-03-19,2,0,1,1,0,0,1,-1
2020-03-20,2,0,1,0,0,0,1,0
2020-03-21,2,0,1,0,0,0,1,0
2020-03-22,2,0,1,0,0,0,1,0
2020-03-23,2,0,1,0,0,0,1,0
2020-03-24,2,0,1,0,1,1,0,-1
2020-03-25,2,0,3,2,3,2,-4,-4
2020-03-26,10,8,5,2,3,0,2,6
2020-03-27,17,7,5,0,3,0,9,7
2020-03-28,28,11,5,0,3,0,20,11
2020-03-29,40,12,5,0,6,3,29,9
2020-03-30,41,1,5,0,7,1,29,0
2020-03-31,43,2,5,0,9,2,29,0
2020-04-01,53,10,10,5,9,0,34,5
2020-04-02,53,0,12,2,10,1,31,-3
2020-04-03,101,48,12,0,10,0,79,48
2020-04-04,101,0,16,4,13,3,72,-7
2020-04-05,136,35,17,1,15,2,104,32
2020-04-06,139,3,27,10,15,0,97,-7
2020-04-07,144,5,28,1,15,0,101,4
2020-04-08,146,2,29,1,15,0,102,1
2020-04-09,173,27,36,7,17,2,120,18
2020-04-10,206,33,47,11,21,4,138,18
2020-04-11,217,11,49,2,24,3,144,6
2020-04-12,336,119,49,0,24,0,263,119
2020-04-13,388,52,53,4,26,2,309,46
2020-04-14,424,36,60,7,39,13,325,16
2020-04-15,449,25,71,11,43,4,335,10
2020-04-16,464,15,74,3,44,1,346,11
2020-04-17,472,8,82,8,45,1,345,-1
2020-04-18,505,33,84,2,48,3,373,28
2020-04-19,538,33,86,2,53,5,399,26
2020-04-20,538,0,88,2,56,3,394,-5
2020-04-21,553,15,89,1,57,1,407,13
2020-04-22,587,34,89,0,57,0,441,34
2020-04-23,612,25,100,11,59,2,453,12
2020-04-24,640,28,116,16,66,7,458,5
2020-04-25,717,77,121,5,74,8,522,64
2020-04-26,734,17,126,5,86,12,522,0
2020-04-27,745,11,128,2,87,1,530,8
2020-04-28,806,61,132,4,89,2,585,55
2020-04-29,820,14,140,8,93,4,587,2
2020-04-30,903,83,145,5,95,2,663,76
2020-05-01,979,76,150,5,98,3,731,68
2020-05-02,985,6,153,3,105,7,727,-4
2020-05-03,1057,72,162,9,110,5,785,58
2020-05-04,1066,9,166,4,116,6,784,-1
2020-05-05,1108,42,168,2,116,0,824,40
2020-05-06,1164,56,186,18,122,6,856,32
2020-05-07,1209,45,194,8,132,10,883,27
2020-05-08,1227,18,203,9,137,5,887,4
2020-05-09,1362,135,215,12,140,3,1007,120
2020-05-10,1440,78,218,3,142,2,1080,73
2020-05-11,1477,37,232,14,148,6,1097,17
2020-05-12,1592,115,246,14,154,6,1192,95
2020-05-13,1707,115,262,16,162,8,1283,91
2020-05-14,1796,89,266,4,166,4,1364,81
2020-05-15,1856,60,282,16,177,11,1397,33
2020-05-16,2032,176,290,8,182,5,1560,163
2020-05-17,2086,54,300,10,193,11,1593,33
2020-05-18,2221,135,325,25,208,15,1688,95
2020-05-19,2304,83,363,38,221,13,1720,32
2020-05-20,2427,123,375,12,227,6,1825,105
2020-05-21,2917,490,391,16,240,13,2286,461
2020-05-22,3042,125,401,10,254,14,2387,101
