date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-29,5,5,2,2,0,0,3,3
2020-03-30,6,1,2,0,0,0,4,1
2020-03-31,6,0,2,0,0,0,4,0
2020-04-01,7,1,2,0,0,0,5,1
2020-04-02,7,0,2,0,1,1,4,-1
2020-04-03,7,0,2,0,1,0,4,0
2020-04-04,7,0,2,0,1,0,4,0
2020-04-05,7,0,2,0,1,0,4,0
2020-04-06,7,0,2,0,1,0,4,0
2020-04-07,7,0,3,1,1,0,3,-1
2020-04-08,7,0,3,0,1,0,3,0
2020-04-09,7,0,3,0,1,0,3,0
2020-04-10,7,0,3,0,1,0,3,0
2020-04-11,7,0,3,0,1,0,3,0
2020-04-12,10,3,3,0,1,0,6,3
2020-04-13,10,0,3,0,1,0,6,0
2020-04-14,10,0,5,2,1,0,4,-2
2020-04-15,10,0,5,0,1,0,4,0
2020-04-16,18,8,5,0,1,0,12,8
2020-04-17,18,0,5,0,1,0,12,0
2020-04-18,18,0,5,0,1,0,12,0
2020-04-19,18,0,5,0,1,0,12,0
2020-04-20,18,0,5,0,1,0,12,0
2020-04-21,24,6,6,1,1,0,17,5
2020-04-22,28,4,7,1,1,0,20,3
2020-04-23,47,19,7,0,1,0,39,19
2020-04-24,47,0,7,0,1,0,39,0
2020-04-25,48,1,7,0,1,0,40,1
2020-04-26,48,0,7,0,1,0,40,0
2020-04-27,48,0,7,0,1,0,40,0
2020-04-28,48,0,7,0,1,0,40,0
2020-04-29,55,7,7,0,1,0,47,7
2020-04-30,55,0,7,0,1,0,47,0
2020-05-01,58,3,7,0,1,0,50,3
2020-05-02,65,7,7,0,1,0,57,7
2020-05-03,67,2,7,0,1,0,59,2
2020-05-04,70,3,7,0,1,0,62,3
2020-05-05,70,0,7,0,1,0,62,0
2020-05-06,87,17,10,3,1,0,76,14
2020-05-07,92,5,10,0,1,0,81,5
2020-05-08,92,0,10,0,1,0,81,0
2020-05-09,115,23,10,0,1,0,104,23
2020-05-10,117,2,10,0,1,0,106,2
2020-05-11,117,0,10,0,1,0,106,0
2020-05-12,120,3,19,9,1,0,100,-6
2020-05-13,126,6,21,2,2,1,103,3
2020-05-14,126,0,21,0,2,0,103,0
2020-05-15,126,0,21,0,2,0,103,0
2020-05-16,128,2,21,0,2,0,105,2
2020-05-17,129,1,23,2,2,0,104,-1
2020-05-18,129,0,31,8,2,0,96,-8
2020-05-19,129,0,31,0,2,0,96,0
2020-05-20,129,0,31,0,2,0,96,0
2020-05-21,130,1,36,5,2,0,92,-4
2020-05-22,137,7,37,1,2,0,98,6
2020-05-23,165,28,37,0,2,0,126,28
2020-05-24,165,0,37,0,2,0,126,0
