date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0,0,0
2020-04-09,1,1,0,0,0,0,1,1
2020-04-10,1,0,0,0,0,0,1,0
2020-04-11,1,0,0,0,0,0,1,0
2020-04-12,1,0,0,0,0,0,1,0
2020-04-13,1,0,0,0,0,0,1,0
2020-04-14,1,0,0,0,0,0,1,0
2020-04-15,1,0,0,0,0,0,1,0
2020-04-16,1,0,0,0,0,0,1,0
2020-04-17,1,0,0,0,0,0,1,0
2020-04-18,1,0,0,0,0,0,1,0
2020-04-19,1,0,0,0,0,0,1,0
2020-04-20,1,0,0,0,0,0,1,0
2020-04-21,1,0,0,0,0,0,1,0
2020-04-22,1,0,0,0,0,0,1,0
2020-04-23,1,0,0,0,0,0,1,0
2020-04-24,1,0,1,1,0,0,0,-1
2020-04-25,1,0,1,0,0,0,0,0
2020-04-26,1,0,1,0,0,0,0,0
2020-04-27,1,0,1,0,0,0,0,0
2020-04-28,1,0,1,0,0,0,0,0
2020-04-29,1,0,1,0,0,0,0,0
2020-04-30,3,2,1,0,0,0,2,2
2020-05-01,3,0,1,0,0,0,2,0
2020-05-02,3,0,1,0,0,0,2,0
2020-05-03,10,7,1,0,0,0,9,7
2020-05-04,10,0,1,0,0,0,9,0
2020-05-05,12,2,1,0,0,0,11,2
2020-05-06,12,0,1,0,0,0,11,0
2020-05-07,12,0,1,0,0,0,11,0
2020-05-08,12,0,1,0,0,0,11,0
2020-05-09,12,0,1,0,0,0,11,0
2020-05-10,12,0,1,0,0,0,11,0
2020-05-11,12,0,1,0,0,0,11,0
2020-05-12,13,1,1,0,0,0,12,1
2020-05-13,19,6,1,0,0,0,18,6
2020-05-14,19,0,1,0,1,1,17,-1
2020-05-15,19,0,1,0,1,0,17,0
2020-05-16,47,28,2,1,1,0,44,27
2020-05-17,59,12,6,4,1,0,52,8
2020-05-18,68,9,6,0,1,0,61,9
2020-05-19,71,3,6,0,1,0,64,3
2020-05-20,76,5,6,0,1,0,69,5
2020-05-21,79,3,6,0,1,0,72,3
2020-05-22,79,0,6,0,1,0,72,0
2020-05-23,79,0,6,0,1,0,72,0
2020-05-24,79,0,6,0,1,0,72,0
