nama_wilayah,kode_wilayah,jumlah_penduduk,total,density,level_kerawanan
DKI JAKARTA,31,11058944,25868,0.002339102178291164,0
DAERAH ISTIMEWA YOGYAKARTA,34,3656108,4444,0.0012155001985718146,0
PAPUA,91,1740450,1836,0.0010548995949323451,0
KEPULAUAN BANGKA BELITUNG,19,1330690,1174,0.0008822490587589897,0
BANTEN,36,10451189,8343,0.000798282377249134,0
KALIMANTAN TENGAH,62,2251078,1659,0.00073698023791268,0
BALI,51,4247341,3026,0.0007124457395815406,0
JAWA BARAT,32,45485037,26365,0.0005796411685891341,0
GORONTALO,75,1068216,592,0.0005541950317164318,0
KEPULAUAN RIAU,21,1744063,924,0.000529797375438846,0
NATIONAL,00,245596822,128549,0.0005234147533065391,0
SULAWESI SELATAN,73,8340621,3935,0.00047178741247204495,0
RIAU,14,5492714,2505,0.00045605869885087774,0
KALIMANTAN UTARA,65,560965,252,0.0004492258875330903,0
KALIMANTAN TIMUR,64,3439150,1483,0.0004312112004419697,0
JAWA TIMUR,35,40531918,16952,0.00041823828815601573,0
SULAWESI TENGGARA,74,1487542,544,0.00036570395995541636,0
SUMATERA SELATAN,16,7467555,2723,0.0003646441171173162,0
MALUKU UTARA,82,885950,321,0.00036232293018793383,0
PAPUA BARAT,92,735514,266,0.0003616518516302885,0
JAWA TENGAH,33,36461504,12947,0.000355086833499792,0
JAMBI,15,3080619,1062,0.00034473591184109426,0
SULAWESI UTARA,71,2154904,620,0.0002877158332807401,0
KALIMANTAN SELATAN,63,3215366,914,0.00028426001892164067,0
NUSA TENGGARA BARAT,52,4736032,1338,0.0002825149830068716,0
SUMATERA BARAT,13,5135071,1344,0.0002617295846542336,0
SUMATERA UTARA,12,13181814,3026,0.00022955869351517174,0
SULAWESI TENGAH,72,2047415,410,0.00020025251353536044,0
KALIMANTAN BARAT,61,4641876,902,0.00019431798695182723,0
BENGKULU,17,1248241,220,0.00017624801620840847,0
MALUKU,81,1054437,160,0.00015173974357880082,0
ACEH,11,3856404,574,0.00014884332658092876,0
LAMPUNG,18,8455434,1252,0.00014807045977770035,0
NUSA TENGGARA TIMUR,53,3096127,415,0.00013403842930215717,0
SULAWESI BARAT,76,1256533,153,0.00012176361464442239,0
