nama_provinsi,kode_provinsi,kode_kecamatan,nama_kecamatan,kode_kabupatenkota,nama_kabupatenkota,jumlah_penduduk,total,density,level_kerawanan
PAPUA,91,910514,Pulau Yerui,91.05,KAB. KEPULAUAN YAPEN,932,57,0.0611587982832618,2
DKI JAKARTA,31,317202,Tanjung Priok,31.72,KOTA ADM. JAKARTA UTARA,417781,4054,0.009703648562285025,2
KEPULAUAN BANGKA BELITUNG,19,190201,Tanjung Pandan,19.02,KAB. BELITUNG,98233,790,0.008042103977278512,2
KALIMANTAN TENGAH,62,621302,Banua Lima,62.13,KAB. BARITO TIMUR,6555,51,0.007780320366132723,2
GORONTALO,75,750404,Marisa,75.04,KAB. PAHUWATO,21043,115,0.005465000237608706,2
PAPUA,91,911401,Karubaga,91.14,KAB. TOLIKARA,19401,103,0.005309004690479872,2
JAMBI,15,150212,Batang Masumai,15.02,KAB. MERANGIN,10734,55,0.005123905347493945,2
SULAWESI TENGGARA,74,740617,Kep. Masaloka Raya,74.06,KAB. BOMBANA,2399,12,0.005002084201750729,2
DKI JAKARTA,31,317103,Kemayoran,31.71,KOTA ADM. JAKARTA PUSAT,264252,1319,0.004991447557634379,2
DKI JAKARTA,31,317105,Cempaka Putih,31.71,KOTA ADM. JAKARTA PUSAT,101597,474,0.004665492091301908,2
PAPUA BARAT,92,920143,Sorong,92.01,KAB. SORONG,923,4,0.004333694474539545,2
KALIMANTAN TENGAH,62,627101,Pahandut,62.71,KOTA PALANGKARAYA,89198,375,0.004204130137447028,2
GORONTALO,75,750402,Lemito,75.04,KAB. PAHUWATO,11229,47,0.004185590880755188,2
DKI JAKARTA,31,317102,Sawah Besar,31.71,KOTA ADM. JAKARTA PUSAT,133421,551,0.004129784666581722,2
BALI,51,510301,Kuta,51.03,KAB. BADUNG,53626,206,0.0038414202066161937,2
SULAWESI SELATAN,73,731704,Bajo,73.17,KAB. LUWU,16485,61,0.003700333636639369,2
SULAWESI SELATAN,73,731406,Kulo,73.14,KAB. SIDENRENG RAPPANG,14055,52,0.0036997509782995376,2
PAPUA,91,910804,Aradide,91.08,KAB. PANIAI,5961,22,0.0036906559302130517,2
SULAWESI SELATAN,73,737101,Mariso,73.71,KOTA MAKASSAR,60369,218,0.003611124915105435,2
SUMATERA UTARA,12,121223,Bonatua Lunasi,12.12,KAB. TOBA SAMOSIR,6216,22,0.0035392535392535394,2
DKI JAKARTA,31,317104,Senen,31.71,KOTA ADM. JAKARTA PUSAT,128934,456,0.0035366931918656055,2
DKI JAKARTA,31,317107,Tanah Abang,31.71,KOTA ADM. JAKARTA PUSAT,181729,616,0.0033896626295197795,2
PAPUA,91,910318,Gresi Selatan,91.03,KAB. JAYAPURA,1304,4,0.003067484662576687,2
PAPUA,91,917105,Heram,91.71,KOTA JAYAPURA,70815,211,0.002979594718633058,2
DAERAH ISTIMEWA YOGYAKARTA,34,340407,Depok,34.04,KAB. SLEMAN,122305,358,0.002927108458362291,2
DKI JAKARTA,31,317409,Jagakarsa,31.74,KOTA ADM. JAKARTA SELATAN,354416,1037,0.0029259401381427474,2
DKI JAKARTA,31,317501,Matraman,31.75,KOTA ADM. JAKARTA TIMUR,190742,558,0.0029254175797674346,2
SULAWESI TENGGARA,74,747103,Baruga,74.71,KOTA KENDARI,31981,92,0.0028767080454019573,2
BALI,51,510305,Kuta Selatan,51.03,KAB. BADUNG,105927,304,0.0028699009695356235,2
DKI JAKARTA,31,317303,Taman Sari,31.73,KOTA ADM. JAKARTA BARAT,130049,365,0.0028066344224100146,2
DKI JAKARTA,31,317101,Gambir,31.71,KOTA ADM. JAKARTA PUSAT,100849,279,0.002766512310483991,2
JAWA TIMUR,35,357819,Benowo,35.78,KOTA SURABAYA,65907,182,0.002761466915502147,2
PAPUA,91,910101,Merauke,91.01,KAB. MERAUKE,101826,281,0.0027596095299825193,2
BANTEN,36,367403,Pondok Aren,36.74,KOTA TANGERANG SELATAN,272428,747,0.0027420088977638127,2
KALIMANTAN TENGAH,62,620604,Pulau Malan,62.06,KAB. KATINGAN,10252,28,0.0027311744049941474,2
JAWA BARAT,32,327603,Sawangan,32.76,KOTA DEPOK,150935,407,0.0026965249942028026,2
SUMATERA UTARA,12,121504,Sitelu Tali Urang Julu,12.15,KAB. PAKPAK BHARAT,4502,12,0.0026654820079964462,2
BANTEN,36,367101,Tangerang,36.71,KOTA TANGERANG,153793,409,0.0026594188292054905,2
JAWA TENGAH,33,337409,Gajahmungkur,33.74,KOTA SEMARANG,59591,158,0.0026514070916749174,2
NUSA TENGGARA BARAT,52,527101,Ampenan,52.71,KOTA MATARAM,88723,235,0.0026486931235418097,2
JAMBI,15,150215,Tabir Timur,15.02,KAB. MERANGIN,7976,21,0.002632898696088265,2
PAPUA,91,910203,Kurulu,91.02,KAB. JAYAWIJAYA,7290,19,0.002606310013717421,2
SUMATERA UTARA,12,121220,Siantar Narumonda,12.12,KAB. TOBA SAMOSIR,7465,19,0.0025452109845947755,2
