date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-21,1,1,0,0,0,0,1,1
2020-03-31,1,0,0,0,0,0,1,0
2020-04-10,7,6,1,1,0,0,6,5
2020-04-20,31,24,1,0,0,0,30,24
2020-04-30,61,30,3,2,0,0,58,28
2020-05-10,83,22,4,1,0,0,79,21
2020-05-20,96,13,15,11,0,0,81,2
2020-05-30,102,6,27,12,0,0,75,-6
2020-06-09,108,6,45,18,0,0,63,-12
2020-06-19,116,8,69,24,0,0,47,-16
2020-06-29,120,4,81,12,1,1,38,-9
2020-07-09,121,1,81,0,1,0,39,1
