date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-30,2,2,0,0,0,0,2,2
2020-04-09,5,3,2,2,2,2,1,-1
2020-04-19,27,22,2,0,3,1,22,21
2020-04-29,47,20,8,6,3,0,36,14
2020-05-09,75,28,12,4,3,0,60,24
2020-05-19,115,40,26,14,4,1,85,25
2020-05-29,126,11,52,26,4,0,70,-15
2020-06-08,159,33,94,42,4,0,61,-9
2020-06-18,172,13,130,36,4,0,38,-23
2020-06-28,186,14,153,23,5,1,28,-10
2020-07-08,193,7,164,11,6,1,23,-5
2020-07-09,0,0,0,0,0,0,0,0
