date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-23,16,16,5,5,0,0,11,11
2020-04-03,77,61,15,10,0,0,62,51
2020-04-14,168,91,51,36,2,2,115,53
2020-04-25,268,100,154,103,2,0,112,-3
2020-05-06,337,69,237,83,2,0,98,-14
2020-05-17,406,69,295,58,2,0,109,11
2020-05-28,573,167,366,71,3,1,204,95
2020-06-08,885,312,546,180,4,1,335,131
2020-06-19,1433,548,776,230,11,7,646,311
2020-06-30,2101,668,1195,419,24,13,882,236
2020-07-11,2248,147,1501,306,25,1,722,-160
