date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,2,2,0,0,0,0,2,2
2020-03-12,6,4,0,0,4,4,2,0
2020-03-23,97,91,8,8,15,11,74,72
2020-04-03,202,105,11,3,24,9,167,93
2020-04-14,300,98,33,22,38,14,229,62
2020-04-25,397,97,117,84,40,2,240,11
2020-05-06,563,166,158,41,60,20,345,105
2020-05-17,757,194,181,23,65,5,511,166
2020-05-28,973,216,370,189,70,5,533,22
2020-06-08,1266,293,535,165,78,8,653,120
2020-06-19,1388,122,635,100,78,0,675,22
2020-06-30,1517,129,1010,375,80,2,427,-248
2020-07-11,1542,25,1095,85,80,0,367,-60
