date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-04-02,2,2,2,2,3,3,-3,-3
2020-04-13,16,14,2,0,5,2,9,12
2020-04-24,78,62,9,7,7,2,62,53
2020-05-05,92,14,55,46,9,2,28,-34
2020-05-16,111,19,81,26,10,1,20,-8
2020-05-27,156,45,89,8,13,3,54,34
2020-06-07,221,65,119,30,15,2,87,33
2020-06-18,258,37,171,52,15,0,72,-15
2020-06-29,288,30,239,68,15,0,34,-38
2020-07-10,316,28,283,44,15,0,18,-16
2020-07-12,327,11,290,7,15,0,22,4
