date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-11,1,1,0,0,0,0,1,1
2020-03-22,3,2,0,0,0,0,3,2
2020-04-02,3,0,0,0,0,0,3,0
2020-04-13,16,13,1,1,1,1,14,11
2020-04-24,41,25,5,4,2,1,34,20
2020-05-05,69,28,15,10,3,1,51,17
2020-05-16,189,120,19,4,4,1,166,115
2020-05-27,226,37,108,89,4,0,114,-52
2020-06-07,259,33,154,46,5,1,100,-14
2020-06-18,326,67,203,49,5,0,118,18
2020-06-29,345,19,222,19,6,1,117,-1
2020-07-10,507,162,312,90,9,3,186,69
2020-07-13,518,11,336,24,9,0,173,-13
