date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-04-02,1,1,0,0,0,0,1,1
2020-04-13,15,14,1,1,3,3,11,10
2020-04-24,34,19,6,5,3,0,25,14
2020-05-05,43,9,16,10,4,1,23,-2
2020-05-16,112,69,30,14,9,5,73,50
2020-05-27,279,167,35,5,34,25,210,137
2020-06-07,493,214,63,28,51,17,379,169
2020-06-18,759,266,128,65,73,22,558,179
2020-06-29,1080,321,176,48,92,19,812,254
2020-07-10,1556,476,360,184,106,14,1090,278
2020-07-13,1678,122,374,14,106,0,1198,108
