date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-24,8,8,0,0,0,0,8,8
2020-04-05,21,13,1,1,1,1,19,11
2020-04-17,41,20,12,11,1,0,28,9
2020-04-29,116,75,15,3,1,0,100,72
2020-05-11,222,106,38,23,3,2,181,81
2020-05-23,271,49,104,66,3,0,164,-17
2020-06-04,313,42,182,78,3,0,128,-36
2020-06-16,389,76,273,91,4,1,112,-16
2020-06-28,500,111,374,101,7,3,119,7
2020-07-10,639,139,476,102,12,5,151,32
2020-07-13,692,53,502,26,17,5,173,22
