date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-04-08,21,21,1,1,3,3,17,17
2020-04-21,96,75,11,10,7,4,78,61
2020-05-04,197,101,24,13,9,2,164,86
2020-05-17,364,167,74,50,44,35,246,82
2020-05-30,890,526,100,26,80,36,710,464
2020-06-12,1691,801,180,80,119,39,1392,682
2020-06-25,2833,1142,535,355,178,59,2120,728
2020-07-08,3816,983,1127,592,209,31,2480,360
2020-07-13,4217,401,1410,283,221,12,2586,106
