date,total_confirmed,confirmed,total_recover,recover,total_active,active,total_death,death
2020-03-13,69,69,2,2,63,63,4,4
2020-03-26,893,824,35,33,780,717,78,74
2020-04-08,2956,2063,222,187,2494,1714,240,162
2020-04-21,7135,4179,842,620,5677,3183,616,376
2020-05-04,11587,4452,1954,1112,8769,3092,864,248
2020-05-17,17514,5927,4129,2175,12237,3468,1148,284
2020-05-30,25773,8259,7015,2886,17185,4948,1573,425
2020-06-12,36406,10633,13213,6198,21145,3960,2048,475
2020-06-25,50187,13781,20449,7236,27118,5973,2620,572
2020-07-08,68079,17892,31585,11136,33135,6017,3359,739
2020-07-14,78572,10493,37636,6051,37226,4091,3710,351
