date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-25,4,4,0,0,0,0,4,4
2020-03-28,5,1,0,0,0,0,5,1
2020-03-31,5,0,0,0,0,0,5,0
2020-04-03,5,0,0,0,0,0,5,0
2020-04-06,5,0,0,0,0,0,5,0
2020-04-09,5,0,1,1,0,0,4,-1
2020-04-12,5,0,3,2,0,0,2,-2
2020-04-15,5,0,3,0,0,0,2,0
2020-04-18,7,2,3,0,0,0,4,2
2020-04-21,7,0,3,0,1,1,3,-1
2020-04-24,9,2,3,0,1,0,5,2
2020-04-27,9,0,6,3,1,0,2,-3
2020-04-30,11,2,6,0,1,0,4,2
2020-05-03,12,1,8,2,1,0,3,-1
2020-05-06,17,5,11,3,1,0,5,2
2020-05-09,17,0,12,1,1,0,4,-1
2020-05-12,17,0,13,1,1,0,3,-1
2020-05-15,18,1,15,2,1,0,2,-1
2020-05-18,18,0,15,0,1,0,2,0
2020-05-21,19,1,17,2,1,0,1,-1
2020-05-24,19,0,17,0,1,0,1,0
2020-05-27,20,1,17,0,1,0,2,1
2020-05-30,20,0,17,0,1,0,2,0
2020-06-02,20,0,18,1,1,0,1,-1
2020-06-05,20,0,18,0,1,0,1,0
2020-06-08,22,2,18,0,1,0,3,2
2020-06-11,22,0,19,1,1,0,2,-1
2020-06-14,27,5,20,1,1,0,6,4
2020-06-17,38,11,20,0,2,1,16,10
2020-06-20,49,11,20,0,2,0,27,11
2020-06-23,66,17,20,0,2,0,44,17
2020-06-26,79,13,25,5,2,0,52,8
2020-06-29,86,7,31,6,3,1,52,0
2020-07-02,87,1,31,0,3,0,53,1
2020-07-05,88,1,42,11,3,0,43,-10
2020-07-08,90,2,59,17,3,0,28,-15
2020-07-11,106,16,63,4,4,1,39,11
2020-07-14,0,0,0,0,0,0,0,0
