date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-28,1,1,0,0,0,0,1,1
2020-03-31,2,1,0,0,1,1,1,0
2020-04-03,2,0,0,0,1,0,1,0
2020-04-06,2,0,0,0,1,0,1,0
2020-04-09,4,2,0,0,1,0,3,2
2020-04-12,4,0,0,0,1,0,3,0
2020-04-15,6,2,0,0,1,0,5,2
2020-04-18,7,1,1,1,1,0,5,0
2020-04-21,9,2,2,1,1,0,6,1
2020-04-24,10,1,2,0,1,0,7,1
2020-04-27,10,0,2,0,1,0,7,0
2020-04-30,19,9,4,2,1,0,14,7
2020-05-03,28,9,4,0,1,0,23,9
2020-05-06,28,0,7,3,1,0,20,-3
2020-05-09,29,1,7,0,1,0,21,1
2020-05-12,29,0,7,0,1,0,21,0
2020-05-15,29,0,24,17,1,0,4,-17
2020-05-18,35,6,25,1,1,0,9,5
2020-05-21,39,4,27,2,1,0,11,2
2020-05-24,39,0,27,0,1,0,11,0
2020-05-27,42,3,27,0,1,0,14,3
2020-05-30,46,4,28,1,1,0,17,3
2020-06-02,72,26,34,6,1,0,37,20
2020-06-05,102,30,36,2,1,0,65,28
2020-06-08,123,21,43,7,1,0,79,14
2020-06-11,136,13,63,20,1,0,72,-7
2020-06-14,145,9,68,5,2,1,75,3
2020-06-17,147,2,107,39,2,0,38,-37
2020-06-20,148,1,117,10,2,0,29,-9
2020-06-23,148,0,127,10,2,0,19,-10
2020-06-26,149,1,132,5,2,0,15,-4
2020-06-29,155,6,135,3,2,0,18,3
2020-07-02,161,6,136,1,2,0,23,5
2020-07-05,171,10,139,3,2,0,30,7
2020-07-08,171,0,141,2,2,0,28,-2
2020-07-11,172,1,142,1,2,0,28,0
2020-07-14,0,0,0,0,0,0,0,0
