date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-31,4,4,0,0,0,0,4,4
2020-04-03,4,0,0,0,0,0,4,0
2020-04-06,7,3,0,0,0,0,7,3
2020-04-09,23,16,2,2,2,2,19,12
2020-04-12,35,12,2,0,2,0,31,12
2020-04-15,49,14,2,0,2,0,45,14
2020-04-18,70,21,11,9,4,2,55,10
2020-04-21,113,43,13,2,4,0,96,41
2020-04-24,193,80,20,7,4,0,169,73
2020-04-27,228,35,31,11,4,0,193,24
2020-04-30,248,20,32,1,4,0,212,19
2020-05-03,282,34,46,14,4,0,232,20
2020-05-06,310,28,80,34,5,1,225,-7
2020-05-09,329,19,105,25,6,1,218,-7
2020-05-12,348,19,138,33,7,1,203,-15
2020-05-15,369,21,200,62,7,0,162,-41
2020-05-18,391,22,213,13,7,0,171,9
2020-05-21,472,81,227,14,8,1,237,66
2020-05-24,486,14,258,31,8,0,220,-17
2020-05-27,588,102,276,18,10,2,302,82
2020-05-30,650,62,292,16,10,0,348,46
2020-06-02,703,53,299,7,17,7,387,39
2020-06-05,806,103,325,26,21,4,460,73
2020-06-08,855,49,404,79,28,7,423,-37
2020-06-11,902,47,541,137,33,5,328,-95
2020-06-14,955,53,623,82,35,2,297,-31
2020-06-17,1020,65,693,70,43,8,284,-13
2020-06-20,1065,45,734,41,45,2,286,2
2020-06-23,1117,52,767,33,49,4,301,15
2020-06-26,1197,80,802,35,59,10,336,35
2020-06-29,1243,46,823,21,63,4,357,21
2020-07-02,1309,66,865,42,64,1,380,23
2020-07-05,1390,81,889,24,65,1,436,56
2020-07-08,1478,88,938,49,74,9,466,30
2020-07-11,1571,93,987,49,81,7,503,37
2020-07-14,0,0,0,0,0,0,0,0
