date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-13,1,1,0,0,0,0,1,1
2020-03-17,1,0,1,1,0,0,0,-1
2020-03-21,1,0,1,0,1,1,-1,-1
2020-03-25,2,1,1,0,2,1,-1,0
2020-03-29,13,11,3,2,2,0,8,9
2020-04-02,19,6,3,0,3,1,13,5
2020-04-06,25,6,10,7,6,3,9,-4
2020-04-10,41,16,18,8,6,0,17,8
2020-04-14,49,8,25,7,7,1,17,0
2020-04-18,57,8,31,6,7,0,19,2
2020-04-22,64,7,37,6,7,0,20,1
2020-04-26,79,15,43,6,7,0,29,9
2020-04-30,100,21,48,5,7,0,45,16
2020-05-04,122,22,59,11,7,0,56,11
2020-05-08,144,22,67,8,8,1,69,13
2020-05-12,173,29,87,20,8,0,78,9
2020-05-16,192,19,106,19,8,0,78,0
2020-05-20,210,18,129,23,8,0,73,-5
2020-05-24,213,3,147,18,8,0,58,-15
2020-05-28,221,8,169,22,8,0,44,-14
2020-06-01,222,1,174,5,8,0,40,-4
2020-06-05,232,10,194,20,8,0,30,-10
2020-06-09,247,15,205,11,8,0,34,4
2020-06-13,258,11,218,13,8,0,32,-2
2020-06-17,270,12,231,13,8,0,31,-1
2020-06-21,277,7,256,25,8,0,13,-18
2020-06-25,291,14,265,9,8,0,18,5
2020-06-29,305,14,274,9,9,1,22,4
2020-07-03,324,19,283,9,9,0,32,10
2020-07-07,348,24,292,9,10,1,46,14
2020-07-11,364,16,295,3,10,0,59,13
