date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0
2020-04-10,1,1,0,0,0,0,1,1
2020-04-14,4,3,0,0,0,0,4,3
2020-04-18,7,3,0,0,1,1,6,2
2020-04-22,14,7,0,0,1,0,13,7
2020-04-26,15,1,2,2,1,0,12,-1
2020-04-30,15,0,2,0,1,0,12,0
2020-05-04,19,4,7,5,1,0,11,-1
2020-05-08,19,0,11,4,1,0,7,-4
2020-05-12,22,3,14,3,1,0,7,0
2020-05-16,28,6,14,0,2,1,12,5
2020-05-20,49,21,18,4,2,0,29,17
2020-05-24,60,11,18,0,2,0,40,11
2020-05-28,94,34,26,8,6,4,62,22
2020-06-01,121,27,30,4,6,0,85,23
2020-06-05,134,13,63,33,7,1,64,-21
2020-06-09,181,47,83,20,7,0,91,27
2020-06-13,214,33,94,11,8,1,112,21
2020-06-17,220,6,139,45,8,0,73,-39
2020-06-21,238,18,175,36,8,0,55,-18
2020-06-25,243,5,201,26,8,0,34,-21
2020-06-29,256,13,226,25,11,3,19,-15
2020-07-03,271,15,227,1,13,2,31,12
2020-07-07,316,45,229,2,17,4,70,39
2020-07-11,363,47,238,9,17,0,108,38
