date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-20,4,4,0,0,1,1,3,3
2020-03-24,9,5,0,0,3,2,6,3
2020-03-28,45,36,3,3,5,2,37,31
2020-04-01,86,41,18,15,17,12,51,14
2020-04-05,107,21,26,8,21,4,60,9
2020-04-09,131,24,32,6,28,7,71,11
2020-04-13,190,59,33,1,30,2,127,56
2020-04-17,291,101,53,20,39,9,199,72
2020-04-21,438,147,61,8,43,4,334,135
2020-04-25,610,172,81,20,49,6,480,146
2020-04-29,700,90,108,27,52,3,540,60
2020-05-03,765,65,134,26,55,3,576,36
2020-05-07,893,128,193,59,57,2,643,67
2020-05-11,968,75,237,44,60,3,671,28
2020-05-15,1098,130,244,7,61,1,793,122
2020-05-19,1164,66,249,5,61,0,854,61
2020-05-23,1277,113,252,3,61,0,964,110
2020-05-27,1315,38,272,20,61,0,982,18
2020-05-31,1392,77,357,85,61,0,974,-8
2020-06-04,1467,75,372,15,63,2,1032,58
2020-06-08,1630,163,457,85,91,28,1082,50
2020-06-12,1864,234,708,251,96,5,1060,-22
2020-06-16,2219,355,820,112,114,18,1285,225
2020-06-20,2557,338,948,128,136,22,1473,188
2020-06-24,2830,273,1058,110,143,7,1629,156
2020-06-28,3471,641,1087,29,143,0,2241,612
2020-07-02,4148,677,1390,303,162,19,2596,355
2020-07-06,4727,579,1651,261,213,51,2863,267
2020-07-10,5292,565,1955,304,233,20,3104,241
2020-07-13,5562,270,1958,3,233,0,3371,267
