date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-28,3,3,0,0,0,0,3,3
2020-04-01,7,4,0,0,2,2,5,2
2020-04-05,10,3,0,0,3,1,7,2
2020-04-09,14,4,2,2,5,2,7,0
2020-04-13,20,6,4,2,5,0,11,4
2020-04-17,25,5,4,0,5,0,16,5
2020-04-21,26,1,5,1,5,0,16,0
2020-04-25,37,11,7,2,5,0,25,9
2020-04-29,45,8,13,6,5,0,27,2
2020-05-03,49,4,13,0,5,0,31,4
2020-05-07,62,13,19,6,5,0,38,7
2020-05-11,65,3,19,0,7,2,39,1
2020-05-15,65,0,21,2,8,1,36,-3
2020-05-19,83,18,29,8,8,0,46,10
2020-05-23,105,22,40,11,8,0,57,11
2020-05-27,118,13,47,7,11,3,60,3
2020-05-31,133,15,62,15,11,0,60,0
2020-06-04,139,6,80,18,11,0,48,-12
2020-06-08,144,5,98,18,11,0,35,-13
2020-06-12,152,8,104,6,11,0,37,2
2020-06-16,165,13,110,6,12,1,43,6
2020-06-20,179,14,121,11,12,0,46,3
2020-06-24,182,3,128,7,12,0,42,-4
2020-06-28,187,5,141,13,12,0,34,-8
2020-07-02,192,5,146,5,12,0,34,0
2020-07-06,200,8,152,6,12,0,36,2
2020-07-10,204,4,157,5,12,0,35,-1
2020-07-13,208,4,161,4,12,0,35,0
