date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0
2020-04-06,1,1,0,0,0,0,1,1
2020-04-10,1,0,0,0,0,0,1,0
2020-04-14,1,0,0,0,0,0,1,0
2020-04-18,1,0,0,0,0,0,1,0
2020-04-22,1,0,1,1,0,0,0,-1
2020-04-26,1,0,1,0,0,0,0,0
2020-04-30,10,9,1,0,0,0,9,9
2020-05-04,12,2,1,0,0,0,11,2
2020-05-08,12,0,1,0,0,0,11,0
2020-05-12,19,7,1,0,1,1,17,6
2020-05-16,71,52,6,5,1,0,64,47
2020-05-20,79,8,6,0,1,0,72,8
2020-05-24,85,6,9,3,1,0,75,3
2020-05-28,92,7,14,5,1,0,77,2
2020-06-01,97,5,14,0,1,0,82,5
2020-06-05,103,6,30,16,1,0,72,-10
2020-06-09,105,2,37,7,1,0,67,-5
2020-06-13,108,3,40,3,1,0,67,0
2020-06-17,108,0,40,0,1,0,67,0
2020-06-21,111,3,40,0,1,0,70,3
2020-06-25,113,2,40,0,1,0,72,2
2020-06-29,118,5,54,14,1,0,63,-9
2020-07-03,118,0,54,0,1,0,63,0
2020-07-07,121,3,91,37,1,0,29,-34
2020-07-11,0,0,0,0,0,0,0,0
