date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-25,2,2,0,0,0,0,2,2
2020-03-30,8,6,0,0,0,0,8,6
2020-04-04,17,9,4,4,1,1,12,4
2020-04-09,36,19,4,0,3,2,29,17
2020-04-14,67,31,9,5,4,1,54,25
2020-04-19,106,39,14,5,6,2,86,32
2020-04-24,135,29,32,18,6,0,97,11
2020-04-29,188,53,47,15,6,0,135,38
2020-05-04,238,50,48,1,6,0,184,49
2020-05-09,274,36,48,0,6,0,220,36
2020-05-14,329,55,48,0,6,0,275,55
2020-05-19,386,57,48,0,6,0,332,57
2020-05-24,552,166,48,0,6,0,498,166
2020-05-29,635,83,68,20,6,0,561,63
2020-06-03,856,221,78,10,7,1,771,210
2020-06-08,1082,226,78,0,7,0,997,226
2020-06-13,1220,138,78,0,7,0,1135,138
2020-06-18,1329,109,297,219,7,0,1025,-110
2020-06-23,1472,143,297,0,7,0,1168,143
2020-06-28,1666,194,632,335,7,0,1027,-141
2020-07-03,1921,255,880,248,16,9,1025,-2
2020-07-08,2054,133,986,106,20,4,1048,23
2020-07-13,2364,310,1094,108,22,2,1248,200
2020-07-14,0,0,0,0,0,0,0,0
