date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-16,1,1,0,0,0,0,1,1
2020-03-21,12,11,0,0,1,1,11,10
2020-03-26,50,38,0,0,3,2,47,36
2020-03-31,79,29,9,9,8,5,62,15
2020-04-05,131,52,24,15,11,3,96,34
2020-04-10,228,97,34,10,22,11,172,76
2020-04-15,367,139,60,26,30,8,277,105
2020-04-20,418,51,80,20,33,3,305,28
2020-04-25,464,46,118,38,35,2,311,6
2020-04-30,606,142,199,81,39,4,368,57
2020-05-05,709,103,258,59,47,8,404,36
2020-05-10,837,128,292,34,50,3,495,91
2020-05-15,1063,226,357,65,54,4,652,157
2020-05-20,1292,229,455,98,62,8,775,123
2020-05-25,1464,172,531,76,70,8,863,88
2020-05-30,1661,197,635,104,74,4,952,89
2020-06-04,2006,345,672,37,92,18,1242,290
2020-06-09,2688,682,864,192,108,16,1716,474
2020-06-14,3351,663,1125,261,120,12,2106,390
2020-06-19,4029,678,1362,237,143,23,2524,418
2020-06-24,4795,766,1716,354,160,17,2919,395
2020-06-29,5554,759,1981,265,172,12,3401,482
2020-07-04,6357,803,2256,275,202,30,3899,498
2020-07-09,7096,739,3017,761,225,23,3854,-45
2020-07-14,0,0,0,0,0,0,0,0
