date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-20,1,1,0,0,1,1,0,0
2020-03-25,1,0,0,0,1,0,0,0
2020-03-30,7,6,0,0,2,1,5,5
2020-04-04,18,11,0,0,5,3,13,8
2020-04-09,48,30,0,0,5,0,43,30
2020-04-14,65,17,10,10,9,4,46,3
2020-04-19,74,9,13,3,9,0,52,6
2020-04-24,89,15,21,8,11,2,57,5
2020-04-29,107,18,40,19,13,2,54,-3
2020-05-04,122,15,41,1,14,1,67,13
2020-05-09,172,50,48,7,24,10,100,33
2020-05-14,195,23,53,5,27,3,115,15
2020-05-19,228,33,58,5,31,4,139,24
2020-05-24,304,76,109,51,36,5,159,20
2020-05-29,393,89,118,9,38,2,237,78
2020-06-03,437,44,160,42,44,6,233,-4
2020-06-08,598,161,189,29,48,4,361,128
2020-06-13,854,256,205,16,59,11,590,229
2020-06-18,986,132,234,29,66,7,686,96
2020-06-23,1224,238,266,32,76,10,882,196
2020-06-28,1458,234,384,118,91,15,983,101
2020-07-03,1714,256,438,54,100,9,1176,193
2020-07-08,1969,255,504,66,109,9,1356,180
2020-07-13,2360,391,578,74,125,16,1657,301
2020-07-14,0,0,0,0,0,0,0,0
