date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-07,9,9,0,0,3,3,6,6
2020-03-14,10,1,8,8,7,4,-5,-11
2020-03-21,20,10,16,8,21,14,-17,-12
2020-03-28,188,168,37,21,61,40,90,107
2020-04-04,572,384,47,10,107,46,418,328
2020-04-11,1433,861,80,33,203,96,1150,732
2020-04-18,2390,957,177,97,280,77,1933,783
2020-04-25,3115,725,291,114,309,29,2515,582
2020-05-02,3793,678,466,175,353,44,2974,459
2020-05-09,4440,647,699,233,386,33,3355,381
2020-05-16,5229,789,1228,529,415,29,3586,231
2020-05-23,5898,669,1506,278,465,50,3927,341
2020-05-30,6611,713,1947,441,480,15,4184,257
2020-06-06,7314,703,2784,837,489,9,4041,-143
2020-06-13,8311,997,3787,1003,512,23,4012,-29
2020-06-20,9283,972,4771,984,565,53,3947,-65
2020-06-27,10434,1151,5570,799,603,38,4261,314
2020-07-04,11651,1217,7337,1767,623,20,3691,-570
2020-07-11,13604,1953,9001,1664,661,38,3942,251
2020-07-14,14566,962,9489,488,681,20,4396,454
