date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-24,1,1,0,0,0,0,1,1
2020-04-01,1,0,0,0,0,0,1,0
2020-04-09,3,2,0,0,0,0,3,2
2020-04-17,14,11,0,0,0,0,14,11
2020-04-25,20,6,10,10,0,0,10,-4
2020-05-03,23,3,11,1,0,0,12,2
2020-05-11,32,9,16,5,4,4,12,0
2020-05-19,107,75,20,4,6,2,81,69
2020-05-27,170,63,33,13,8,2,129,48
2020-06-04,238,68,61,28,8,0,169,40
2020-06-12,386,148,103,42,10,2,273,104
2020-06-20,581,195,160,57,13,3,408,135
2020-06-28,711,130,229,69,15,2,467,59
2020-07-06,804,93,380,151,17,2,407,-60
2020-07-13,900,96,567,187,17,0,316,-91
