date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-25,2,2,0,0,0,0,2,2
2020-04-02,2,0,0,0,0,0,2,0
2020-04-10,5,3,0,0,0,0,5,3
2020-04-18,16,11,0,0,0,0,16,11
2020-04-26,43,27,0,0,0,0,43,27
2020-05-04,70,27,2,2,0,0,68,25
2020-05-12,105,35,5,3,0,0,100,32
2020-05-20,132,27,36,31,1,1,95,-5
2020-05-28,173,41,57,21,1,0,115,20
2020-06-05,200,27,86,29,1,0,113,-2
2020-06-13,222,22,128,42,2,1,92,-21
2020-06-21,236,14,152,24,2,0,82,-10
2020-06-29,265,29,184,32,3,1,78,-4
2020-07-07,286,21,193,9,3,0,90,12
