date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-25,1,1,0,0,0,0,1,1
2020-04-02,2,1,0,0,0,0,2,1
2020-04-10,7,5,1,1,1,1,5,3
2020-04-18,35,28,1,0,1,0,33,28
2020-04-26,44,9,5,4,1,0,38,5
2020-05-04,62,18,5,0,2,1,55,17
2020-05-12,77,15,25,20,2,0,50,-5
2020-05-20,88,11,32,7,2,0,54,4
2020-05-28,92,4,49,17,2,0,41,-13
2020-06-05,97,5,66,17,2,0,29,-12
2020-06-13,104,7,77,11,2,0,25,-4
2020-06-21,114,10,83,6,2,0,29,4
2020-06-29,124,10,89,6,2,0,33,4
2020-07-07,143,19,95,6,3,1,45,12
