date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-04-05,2,2,0,0,1,1,1,1
2020-04-14,4,2,0,0,1,0,3,2
2020-04-23,8,4,1,1,1,0,6,3
2020-05-02,12,4,1,0,2,1,9,3
2020-05-11,37,25,1,0,2,0,34,25
2020-05-20,67,30,7,6,2,0,58,24
2020-05-29,72,5,22,15,3,1,47,-11
2020-06-07,92,20,40,18,4,1,48,1
2020-06-16,104,12,63,23,6,2,35,-13
2020-06-25,120,16,78,15,10,4,32,-3
2020-07-04,137,17,94,16,13,3,30,-2
2020-07-12,163,26,102,8,16,3,45,15
2020-07-14,0,0,0,0,0,0,0,0
