date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-04-05,7,7,2,2,1,1,4,4
2020-04-14,10,3,5,3,1,0,4,0
2020-04-23,47,37,7,2,1,0,39,35
2020-05-02,65,18,7,0,1,0,57,18
2020-05-11,117,52,10,3,1,0,106,49
2020-05-20,129,12,31,21,2,1,96,-10
2020-05-29,181,52,46,15,2,0,133,37
2020-06-07,207,26,113,67,2,0,92,-41
2020-06-16,267,60,166,53,2,0,99,7
2020-06-25,310,43,234,68,2,0,74,-25
2020-07-04,333,23,280,46,2,0,51,-23
2020-07-13,352,19,327,47,2,0,23,-28
2020-07-14,0,0,0,0,0,0,0,0
