date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,3,3,0,0,0,0,3,3
2020-03-15,5,2,0,0,0,0,5,2
2020-03-16,6,1,0,0,0,0,6,1
2020-03-17,7,1,0,0,0,0,7,1
2020-03-18,7,0,0,0,0,0,7,0
2020-03-19,7,0,0,0,0,0,7,0
2020-03-20,7,0,0,0,0,0,7,0
2020-03-21,7,0,0,0,0,0,7,0
2020-03-22,7,0,0,0,0,0,7,0
2020-03-23,8,1,0,0,0,0,8,1
2020-03-24,8,0,0,0,0,0,8,0
2020-03-25,8,0,0,0,0,0,8,0
2020-03-26,8,0,0,0,0,0,8,0
2020-03-27,8,0,0,0,0,0,8,0
2020-03-28,13,5,0,0,0,0,13,5
2020-03-29,13,0,0,0,0,0,13,0
2020-03-30,13,0,0,0,0,0,13,0
2020-03-31,16,3,0,0,1,1,15,2
2020-04-01,17,1,0,0,1,0,16,1
2020-04-02,17,0,0,0,1,0,16,0
2020-04-03,18,1,0,0,1,0,17,1
2020-04-04,20,2,1,1,1,0,18,1
2020-04-05,21,1,1,0,1,0,19,1
2020-04-06,27,6,1,0,1,0,25,6
2020-04-07,27,0,1,0,1,0,25,0
2020-04-08,28,1,1,0,1,0,26,1
2020-04-09,28,0,6,5,1,0,21,-5
2020-04-10,32,4,6,0,1,0,25,4
2020-04-11,32,0,6,0,1,0,25,0
2020-04-12,32,0,6,0,1,0,25,0
2020-04-13,32,0,6,0,1,0,25,0
2020-04-14,32,0,6,0,1,0,25,0
2020-04-15,32,0,6,0,1,0,25,0
2020-04-16,41,9,11,5,1,0,29,4
2020-04-17,41,0,12,1,1,0,28,-1
2020-04-18,51,10,12,0,1,0,38,10
2020-04-19,56,5,12,0,1,0,43,5
2020-04-20,60,4,12,0,1,0,47,4
2020-04-21,65,5,12,0,1,0,52,5
2020-04-22,66,1,12,0,1,0,53,1
2020-04-23,71,5,12,0,1,0,58,5
2020-04-24,82,11,14,2,1,0,67,9
2020-04-25,94,12,14,0,1,0,79,12
2020-04-26,102,8,14,0,1,0,87,8
2020-04-27,104,2,15,1,1,0,88,1
2020-04-28,112,8,15,0,1,0,96,8
2020-04-29,116,4,15,0,1,0,100,4
2020-04-30,131,15,15,0,1,0,115,15
2020-05-01,133,2,16,1,1,0,116,1
2020-05-02,151,18,16,0,1,0,134,18
2020-05-03,159,8,16,0,1,0,142,8
2020-05-04,164,5,16,0,2,1,146,4
2020-05-05,165,1,16,0,2,0,147,1
2020-05-06,179,14,16,0,2,0,161,14
2020-05-07,179,0,16,0,2,0,161,0
2020-05-08,206,27,25,9,2,0,179,18
2020-05-09,211,5,31,6,2,0,178,-1
2020-05-10,215,4,34,3,2,0,179,1
2020-05-11,222,7,38,4,3,1,181,2
2020-05-12,225,3,41,3,3,0,181,0
2020-05-13,227,2,46,5,3,0,178,-3
2020-05-14,235,8,57,11,3,0,175,-3
2020-05-15,248,13,61,4,3,0,184,9
2020-05-16,250,2,63,2,3,0,184,0
2020-05-17,251,1,65,2,3,0,183,-1
2020-05-18,252,1,75,10,3,0,174,-9
2020-05-19,255,3,80,5,3,0,172,-2
2020-05-20,261,6,84,4,3,0,174,2
2020-05-21,263,2,95,11,3,0,165,-9
2020-05-22,268,5,101,6,3,0,164,-1
2020-05-23,271,3,104,3,3,0,164,0
2020-05-24,273,2,104,0,3,0,166,2
