date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0
2020-03-30,1,1,0,0,2,2,-1,-1
2020-03-31,2,1,0,0,2,0,0,1
2020-04-01,2,0,0,0,2,0,0,0
2020-04-02,2,0,2,2,3,1,-3,-3
2020-04-03,4,2,2,0,3,0,-1,2
2020-04-04,4,0,2,0,3,0,-1,0
2020-04-05,5,1,2,0,3,0,0,1
2020-04-06,5,0,2,0,3,0,0,0
2020-04-07,5,0,2,0,3,0,0,0
2020-04-08,5,0,2,0,3,0,0,0
2020-04-09,16,11,2,0,3,0,11,11
2020-04-10,16,0,2,0,3,0,11,0
2020-04-11,16,0,2,0,4,1,10,-1
2020-04-12,16,0,2,0,5,1,9,-1
2020-04-13,16,0,2,0,5,0,9,0
2020-04-14,22,6,2,0,6,1,14,5
2020-04-15,27,5,5,3,6,0,16,2
2020-04-16,34,7,5,0,6,0,23,7
2020-04-17,53,19,6,1,6,0,41,18
2020-04-18,74,21,6,0,6,0,62,21
2020-04-19,74,0,6,0,6,0,62,0
2020-04-20,74,0,8,2,7,1,59,-3
2020-04-21,76,2,9,1,7,0,60,1
2020-04-22,76,0,9,0,7,0,60,0
2020-04-23,78,2,9,0,7,0,62,2
2020-04-24,78,0,9,0,7,0,62,0
2020-04-25,78,0,11,2,7,0,60,-2
2020-04-26,80,2,11,0,7,0,62,2
2020-04-27,81,1,11,0,7,0,63,1
2020-04-28,84,3,11,0,8,1,65,2
2020-04-29,84,0,15,4,8,0,61,-4
2020-04-30,84,0,15,0,8,0,61,0
2020-05-01,84,0,39,24,8,0,37,-24
2020-05-02,84,0,48,9,8,0,28,-9
2020-05-03,87,3,49,1,9,1,29,1
2020-05-04,87,0,52,3,9,0,26,-3
2020-05-05,92,5,55,3,9,0,28,2
2020-05-06,93,1,61,6,9,0,23,-5
2020-05-07,93,0,62,1,9,0,22,-1
2020-05-08,95,2,68,6,9,0,18,-4
2020-05-09,96,1,69,1,10,1,17,-1
2020-05-10,96,0,70,1,10,0,16,-1
2020-05-11,99,3,76,6,10,0,13,-3
2020-05-12,101,2,78,2,10,0,13,0
2020-05-13,106,5,78,0,10,0,18,5
2020-05-14,106,0,78,0,10,0,18,0
2020-05-15,110,4,81,3,10,0,19,1
2020-05-16,111,1,81,0,10,0,20,1
2020-05-17,111,0,81,0,11,1,19,-1
2020-05-18,122,11,81,0,11,0,30,11
2020-05-19,135,13,81,0,11,0,43,13
2020-05-20,135,0,81,0,11,0,43,0
2020-05-21,135,0,81,0,11,0,43,0
2020-05-22,136,1,85,4,11,0,40,-3
2020-05-23,144,8,86,1,12,1,46,6
