date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,1,1,0,0,0,0,1,1
2020-03-29,1,0,0,0,0,0,1,0
2020-03-30,1,0,0,0,0,0,1,0
2020-03-31,4,3,0,0,0,0,4,3
2020-04-01,4,0,0,0,0,0,4,0
2020-04-02,10,6,0,0,0,0,10,6
2020-04-03,11,1,0,0,0,0,11,1
2020-04-04,11,0,1,1,0,0,10,-1
2020-04-05,15,4,1,0,0,0,14,4
2020-04-06,15,0,1,0,0,0,14,0
2020-04-07,15,0,1,0,0,0,14,0
2020-04-08,15,0,1,0,0,0,14,0
2020-04-09,16,1,1,0,0,0,15,1
2020-04-10,17,1,1,0,0,0,16,1
2020-04-11,17,0,1,0,0,0,16,0
2020-04-12,17,0,3,2,0,0,14,-2
2020-04-13,17,0,3,0,0,0,14,0
2020-04-14,18,1,3,0,0,0,15,1
2020-04-15,21,3,3,0,0,0,18,3
2020-04-16,39,18,3,0,0,0,36,18
2020-04-17,53,14,3,0,0,0,50,14
2020-04-18,83,30,3,0,1,1,79,29
2020-04-19,88,5,3,0,1,0,84,5
2020-04-20,88,0,3,0,1,0,84,0
2020-04-21,88,0,3,0,1,0,84,0
2020-04-22,88,0,3,0,1,0,84,0
2020-04-23,92,4,4,1,1,0,87,3
2020-04-24,105,13,6,2,1,0,98,11
2020-04-25,118,13,16,10,1,0,101,3
2020-04-26,128,10,16,0,1,0,111,10
2020-04-27,128,0,20,4,1,0,107,-4
2020-04-28,142,14,23,3,1,0,118,11
2020-04-29,143,1,23,0,1,0,119,1
2020-04-30,149,6,23,0,1,0,125,6
2020-05-01,155,6,28,5,1,0,126,1
2020-05-02,155,0,28,0,3,2,124,-2
2020-05-03,183,28,35,7,3,0,145,21
2020-05-04,183,0,42,7,4,1,137,-8
2020-05-05,198,15,46,4,4,0,148,11
2020-05-06,209,11,46,0,5,1,158,10
2020-05-07,226,17,48,2,7,2,171,13
2020-05-08,226,0,48,0,8,1,170,-1
2020-05-09,277,51,54,6,8,0,215,45
2020-05-10,277,0,63,9,11,3,203,-12
2020-05-11,277,0,63,0,11,0,203,0
2020-05-12,278,1,72,9,12,1,194,-9
2020-05-13,321,43,72,0,14,2,235,41
2020-05-14,438,117,72,0,15,1,351,116
2020-05-15,454,16,72,0,16,1,366,15
2020-05-16,454,0,72,0,16,0,366,0
2020-05-17,520,66,72,0,19,3,429,63
2020-05-18,536,16,76,4,21,2,439,10
2020-05-19,593,57,76,0,21,0,496,57
2020-05-20,643,50,77,1,23,2,543,47
2020-05-21,671,28,94,17,24,1,553,10
2020-05-22,690,19,99,5,25,1,566,13
2020-05-23,722,32,101,2,28,3,593,27
2020-05-24,733,11,111,10,28,0,594,1
