date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-28,28,28,5,5,3,3,20,20
2020-04-11,217,189,49,44,24,21,144,124
2020-04-25,717,500,121,72,74,50,522,378
2020-05-09,1362,645,215,94,140,66,1007,485
2020-05-23,3490,2128,414,199,268,128,2808,1801
2020-06-06,5717,2227,1348,934,461,193,3908,1100
2020-06-20,9252,3535,2649,1301,697,236,5906,1998
2020-07-04,13180,3928,4722,2073,996,299,7462,1556
2020-07-18,17923,4743,8855,4133,1348,352,7720,258
2020-07-30,21723,3800,14052,5197,1676,328,5995,-1725
