date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-28,1,1,0,0,0,0,1,1
2020-04-11,2,1,1,1,0,0,1,0
2020-04-25,14,12,3,2,0,0,11,10
2020-05-09,54,40,9,6,0,0,45,34
2020-05-23,99,45,13,4,4,4,82,37
2020-06-06,185,86,33,20,17,13,135,53
2020-06-20,399,214,56,23,22,5,321,186
2020-07-04,948,549,123,67,31,9,794,473
2020-07-18,1275,327,175,52,38,7,1062,268
2020-08-01,1543,268,328,153,49,11,1166,104
2020-08-02,1557,14,328,0,49,0,1180,14
