date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-06,1,1,0,0,0,0,1,1
2020-03-09,2,1,0,0,0,0,2,1
2020-03-12,2,0,0,0,1,1,1,-1
2020-03-15,5,3,0,0,1,0,4,3
2020-03-18,6,1,0,0,2,1,4,0
2020-03-21,6,0,0,0,4,2,2,-2
2020-03-24,6,0,1,1,4,0,1,-1
2020-03-27,31,25,2,1,4,0,25,24
2020-03-30,65,34,3,1,6,2,56,31
2020-04-02,97,32,8,5,15,9,74,18
2020-04-05,108,11,8,0,18,3,82,8
2020-04-08,142,34,9,1,20,2,113,31
2020-04-11,197,55,10,1,23,3,164,51
2020-04-14,207,10,11,1,24,1,172,8
2020-04-17,230,23,12,1,34,10,184,12
2020-04-20,273,43,18,6,34,0,221,37
2020-04-23,277,4,29,11,34,0,214,-7
2020-04-26,311,34,33,4,38,4,240,26
2020-04-29,329,18,33,0,40,2,256,16
2020-05-02,368,39,34,1,40,0,294,38
2020-05-05,397,29,117,83,40,0,240,-54
2020-05-08,446,49,122,5,55,15,269,29
2020-05-11,483,37,146,24,55,0,282,13
2020-05-14,535,52,158,12,56,1,321,39
2020-05-17,587,52,159,1,60,4,368,47
2020-05-20,640,53,162,3,61,1,417,49
2020-05-23,708,68,172,10,65,4,471,54
2020-05-26,747,39,178,6,65,0,504,33
2020-05-29,784,37,217,39,68,3,499,-5
2020-06-01,808,24,252,35,68,0,488,-11
2020-06-04,903,95,279,27,68,0,556,68
2020-06-07,973,70,370,91,70,2,533,-23
2020-06-10,1033,60,401,31,72,2,560,27
2020-06-13,1167,134,418,17,78,6,671,111
2020-06-16,1217,50,485,67,78,0,654,-17
2020-06-19,1270,53,538,53,78,0,654,0
2020-06-22,1303,33,570,32,78,0,655,1
2020-06-25,1349,46,590,20,78,0,681,26
2020-06-28,1384,35,628,38,78,0,678,-3
2020-07-01,1409,25,660,32,78,0,671,-7
2020-07-04,1455,46,943,283,78,0,434,-237
2020-07-07,1480,25,952,9,79,1,449,15
2020-07-10,1516,36,1010,58,80,1,426,-23
2020-07-13,1541,25,1095,85,80,0,366,-60
2020-07-16,1571,30,1155,60,81,1,335,-31
2020-07-17,1580,9,1165,10,81,0,334,-1
