date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-03,6,6,0,0,0,0,6,6
2020-03-06,8,2,0,0,1,1,7,1
2020-03-09,8,0,0,0,4,3,4,-3
2020-03-12,8,0,4,4,5,1,-1,-5
2020-03-15,15,7,8,4,10,5,-3,-2
2020-03-18,16,1,8,0,15,5,-7,-4
2020-03-21,18,2,16,8,21,6,-19,-12
2020-03-24,18,0,22,6,40,19,-44,-25
2020-03-27,142,124,28,6,50,10,64,108
2020-03-30,263,121,37,9,76,26,150,86
2020-04-02,433,170,39,2,91,15,303,153
2020-04-05,643,210,48,9,116,25,479,176
2020-04-08,937,294,63,15,145,29,729,250
2020-04-11,1397,460,79,16,200,55,1118,389
2020-04-14,1775,378,117,38,250,50,1408,290
2020-04-17,2216,441,172,55,267,17,1777,369
2020-04-20,2484,268,205,33,283,16,1996,219
2020-04-23,2863,379,276,71,286,3,2301,305
2020-04-26,3123,260,285,9,311,25,2527,226
2020-04-29,3398,275,382,97,327,16,2689,162
2020-05-02,3686,288,454,72,348,21,2884,195
2020-05-05,3947,261,635,181,362,14,2950,66
2020-05-08,4228,281,675,40,376,14,3177,227
2020-05-11,4530,302,738,63,391,15,3401,224
2020-05-14,4932,402,1075,337,401,10,3456,55
2020-05-17,5241,309,1210,135,411,10,3620,164
2020-05-20,5497,256,1234,24,419,8,3844,224
2020-05-23,5780,283,1473,239,457,38,3850,6
2020-05-26,6054,274,1571,98,457,0,4026,176
2020-05-29,6386,332,1645,74,465,8,4276,250
2020-06-01,6754,368,2153,508,475,10,4126,-150
2020-06-04,7008,254,2475,322,480,5,4053,-73
2020-06-07,7355,347,2984,509,485,5,3886,-167
2020-06-10,7845,490,3362,378,491,6,3992,106
2020-06-13,8188,343,3682,320,504,13,4002,10
2020-06-16,8543,355,4170,488,514,10,3859,-143
2020-06-19,8967,424,4540,370,549,35,3878,19
2020-06-22,9420,453,4968,428,558,9,3894,16
2020-06-25,9913,493,5390,422,583,25,3940,46
2020-06-28,10434,521,5713,323,596,13,4125,185
2020-07-01,10953,519,6525,812,604,8,3824,-301
2020-07-04,11508,555,7222,697,615,11,3671,-153
2020-07-07,12177,669,8123,901,632,17,3422,-249
2020-07-10,13056,879,8671,548,642,10,3743,321
2020-07-13,14109,1053,9253,582,668,26,4188,445
2020-07-16,14935,826,9700,447,684,16,4551,363
2020-07-19,15850,915,10285,585,707,23,4858,307
2020-07-22,17050,1200,11070,785,729,22,5251,393
2020-07-25,18174,1124,11680,610,735,6,5759,508
2020-07-28,19468,1294,12328,648,764,29,6376,617
2020-07-29,20085,617,12575,247,778,14,6732,356
