date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-27,2,2,0,0,0,0,2,2
2020-03-30,3,1,0,0,0,0,3,1
2020-04-02,5,2,2,2,0,0,3,0
2020-04-05,7,2,4,2,0,0,3,0
2020-04-08,16,9,6,2,1,1,9,6
2020-04-11,20,4,7,1,1,0,12,3
2020-04-14,21,1,8,1,2,1,11,-1
2020-04-17,31,10,8,0,2,0,21,10
2020-04-20,56,25,9,1,4,2,43,22
2020-04-23,79,23,9,0,5,1,65,22
2020-04-26,100,21,10,1,5,0,85,20
2020-04-29,123,23,12,2,6,1,105,20
2020-05-02,153,30,15,3,7,1,131,26
2020-05-05,177,24,16,1,9,2,152,21
2020-05-08,184,7,30,14,10,1,144,-8
2020-05-11,196,12,30,0,10,0,156,12
2020-05-14,219,23,42,12,10,0,167,11
2020-05-17,223,4,49,7,10,0,164,-3
2020-05-20,237,14,67,18,10,0,160,-4
2020-05-23,287,50,92,25,14,4,181,21
2020-05-26,316,29,113,21,16,2,187,6
2020-05-29,359,43,120,7,16,0,223,36
2020-06-01,411,52,126,6,18,2,267,44
2020-06-04,461,50,150,24,23,5,288,21
2020-06-07,492,31,160,10,25,2,307,19
2020-06-10,533,41,173,13,28,3,332,25
2020-06-13,582,49,176,3,29,1,377,45
2020-06-16,653,71,204,28,36,7,413,36
2020-06-19,734,81,244,40,43,7,447,34
2020-06-22,781,47,261,17,48,5,472,25
2020-06-25,806,25,268,7,49,1,489,17
2020-06-28,830,24,297,29,52,3,481,-8
2020-07-01,927,97,348,51,54,2,525,44
2020-07-04,1000,73,419,71,60,6,521,-4
2020-07-07,1054,54,443,24,61,1,550,29
2020-07-10,1127,73,471,28,64,3,592,42
2020-07-13,1218,91,508,37,69,5,641,49
2020-07-15,1266,44,574,0,70,1,622,-19
2020-07-17,0,0,0,0,0,0,0,0
