date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-30,1,1,0,0,0,0,1,1
2020-04-02,2,1,0,0,1,1,1,0
2020-04-05,2,0,0,0,1,0,1,0
2020-04-08,2,0,0,0,1,0,1,0
2020-04-11,4,2,0,0,1,0,3,2
2020-04-14,4,0,0,0,1,0,3,0
2020-04-17,6,2,0,0,1,0,5,2
2020-04-20,7,1,1,1,1,0,5,0
2020-04-23,9,2,1,0,1,0,7,2
2020-04-26,10,1,1,0,1,0,8,1
2020-04-29,10,0,1,0,1,0,8,0
2020-05-02,19,9,2,1,1,0,16,8
2020-05-05,28,9,2,0,1,0,25,9
2020-05-08,28,0,5,3,1,0,22,-3
2020-05-11,29,1,5,0,1,0,23,1
2020-05-14,29,0,5,0,1,0,23,0
2020-05-17,29,0,22,17,1,0,6,-17
2020-05-20,35,6,23,1,1,0,11,5
2020-05-23,39,4,25,2,1,0,13,2
2020-05-26,39,0,25,0,1,0,13,0
2020-05-29,42,3,25,0,1,0,16,3
2020-06-01,46,4,26,1,1,0,19,3
2020-06-04,72,26,32,6,1,0,39,20
2020-06-07,102,30,34,2,1,0,67,28
2020-06-10,123,21,41,7,1,0,81,14
2020-06-13,136,13,61,20,1,0,74,-7
2020-06-16,145,9,66,5,2,1,77,3
2020-06-19,147,2,105,39,2,0,40,-37
2020-06-22,148,1,115,10,2,0,31,-9
2020-06-25,148,0,125,10,2,0,21,-10
2020-06-28,149,1,130,5,2,0,17,-4
2020-07-01,155,6,133,3,2,0,20,3
2020-07-04,161,6,134,1,2,0,25,5
2020-07-07,171,10,137,3,2,0,32,7
2020-07-10,171,0,139,2,2,0,30,-2
2020-07-13,172,1,143,4,2,0,27,-3
2020-07-16,175,3,164,21,2,0,9,-18
2020-07-19,176,1,165,1,2,0,9,0
2020-07-22,181,5,167,2,2,0,12,3
2020-07-25,186,5,170,3,2,0,14,2
2020-07-28,191,5,171,1,2,0,18,4
2020-07-29,193,2,173,2,2,0,18,0
