date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-30,2,2,0,0,0,0,2,2
2020-04-02,6,4,0,0,1,1,5,3
2020-04-05,10,4,1,1,2,1,7,2
2020-04-08,11,1,1,0,2,0,8,1
2020-04-11,15,4,3,2,3,1,9,1
2020-04-14,19,4,3,0,3,0,13,4
2020-04-17,25,6,10,7,5,2,10,-3
2020-04-20,33,8,10,0,6,1,17,7
2020-04-23,35,2,13,3,6,0,16,-1
2020-04-26,38,3,15,2,6,0,17,1
2020-04-29,40,2,17,2,6,0,17,0
2020-05-02,44,4,26,9,6,0,12,-5
2020-05-05,60,16,27,1,6,0,27,15
2020-05-08,68,8,38,11,6,0,24,-3
2020-05-11,73,5,49,11,6,0,18,-6
2020-05-14,93,20,49,0,6,0,38,20
2020-05-17,98,5,60,11,6,0,32,-6
2020-05-20,106,8,63,3,6,0,37,5
2020-05-23,109,3,66,3,6,0,37,0
2020-05-26,110,1,77,11,6,0,27,-10
2020-05-29,116,6,84,7,6,0,26,-1
2020-06-01,116,0,89,5,6,0,21,-5
2020-06-04,116,0,99,10,6,0,11,-10
2020-06-07,117,1,101,2,6,0,10,-1
2020-06-10,119,2,107,6,6,0,6,-4
2020-06-13,124,5,109,2,6,0,9,3
2020-06-16,125,1,112,3,7,1,6,-3
2020-06-19,141,16,114,2,8,1,19,13
2020-06-22,165,24,117,3,8,0,40,21
2020-06-25,219,54,121,4,10,2,88,48
2020-06-28,223,4,139,18,10,0,74,-14
2020-07-01,226,3,178,39,10,0,38,-36
2020-07-04,232,6,205,27,10,0,17,-21
2020-07-07,235,3,214,9,11,1,10,-7
2020-07-10,237,2,217,3,11,0,9,-1
2020-07-13,242,5,221,4,11,0,10,1
2020-07-16,250,8,224,3,11,0,15,5
2020-07-19,271,21,225,1,11,0,35,20
2020-07-20,0,0,0,0,0,0,0,0
