date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-04-02,1,1,0,0,0,0,1,1
2020-04-05,1,0,0,0,1,1,0,-1
2020-04-08,6,5,0,0,2,1,4,4
2020-04-11,11,5,1,1,3,1,7,3
2020-04-14,15,4,3,2,3,0,9,2
2020-04-17,16,1,4,1,3,0,9,0
2020-04-20,18,2,4,0,3,0,11,2
2020-04-23,29,11,6,2,3,0,20,9
2020-04-26,38,9,12,6,3,0,23,3
2020-04-29,42,4,13,1,3,0,26,3
2020-05-02,43,1,16,3,4,1,23,-3
2020-05-05,43,0,16,0,4,0,23,0
2020-05-08,45,2,16,0,4,0,25,2
2020-05-11,69,24,16,0,6,2,47,22
2020-05-14,81,12,29,13,8,2,44,-3
2020-05-17,112,31,30,1,13,5,69,25
2020-05-20,148,36,30,0,15,2,103,34
2020-05-23,199,51,31,1,25,10,143,40
2020-05-26,263,64,34,3,32,7,197,54
2020-05-29,304,41,38,4,35,3,231,34
2020-06-01,337,33,51,13,38,3,248,17
2020-06-04,379,42,61,10,44,6,274,26
2020-06-07,493,114,63,2,51,7,379,105
2020-06-10,543,50,79,16,54,3,410,31
2020-06-13,649,106,98,19,64,10,487,77
2020-06-16,699,50,114,16,70,6,515,28
2020-06-19,782,83,136,22,74,4,572,57
2020-06-22,852,70,144,8,79,5,629,57
2020-06-25,926,74,151,7,87,8,688,59
2020-06-28,1054,128,171,20,94,7,789,101
2020-07-01,1127,73,200,29,96,2,831,42
2020-07-04,1189,62,249,49,103,7,837,6
2020-07-07,1250,61,315,66,107,4,828,-9
2020-07-10,1556,306,359,44,109,2,1088,260
2020-07-13,1678,122,373,14,110,1,1195,107
2020-07-16,1767,89,416,43,112,2,1239,44
2020-07-19,1896,129,602,186,116,4,1178,-61
2020-07-22,2072,176,817,215,122,6,1133,-45
2020-07-25,2213,141,1005,188,123,1,1085,-48
2020-07-28,2354,141,1130,125,126,3,1098,13
2020-07-31,2578,224,1207,77,132,6,1239,141
2020-08-01,0,0,0,0,0,0,0,0
