date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-27,5,5,0,0,0,0,5,5
2020-03-30,8,3,0,0,0,0,8,3
2020-04-02,8,0,0,0,0,0,8,0
2020-04-05,8,0,0,0,0,0,8,0
2020-04-08,18,10,0,0,0,0,18,10
2020-04-11,31,13,5,5,3,3,23,5
2020-04-14,48,17,6,1,4,1,38,15
2020-04-17,62,14,10,4,6,2,46,8
2020-04-20,74,12,13,3,7,1,54,8
2020-04-23,86,12,16,3,9,2,61,7
2020-04-26,102,16,21,5,11,2,70,9
2020-04-29,145,43,25,4,15,4,105,35
2020-05-02,182,37,31,6,16,1,135,30
2020-05-05,221,39,39,8,16,0,166,31
2020-05-08,270,49,49,10,18,2,203,37
2020-05-11,299,29,68,19,18,0,213,10
2020-05-14,371,72,87,19,22,4,262,49
2020-05-17,408,37,96,9,23,1,289,27
2020-05-20,428,20,146,50,24,1,258,-31
2020-05-23,443,15,176,30,25,1,242,-16
2020-05-26,510,67,208,32,25,0,277,35
2020-05-29,541,31,250,42,26,1,265,-12
2020-06-01,567,26,267,17,26,0,274,9
2020-06-04,594,27,312,45,26,0,256,-18
2020-06-07,626,32,340,28,27,1,259,3
2020-06-10,659,33,389,49,29,2,241,-18
2020-06-13,674,15,411,22,29,0,234,-7
2020-06-16,687,13,459,48,30,1,198,-36
2020-06-19,700,13,493,34,30,0,177,-21
2020-06-22,707,7,505,12,30,0,172,-5
2020-06-25,717,10,561,56,30,0,126,-46
2020-06-28,725,8,587,26,31,1,107,-19
2020-07-01,742,17,607,20,31,0,104,-3
2020-07-04,762,20,624,17,31,0,107,3
2020-07-07,780,18,637,13,31,0,112,5
2020-07-10,791,11,661,24,32,1,98,-14
2020-07-13,800,9,671,10,32,0,97,-1
2020-07-16,806,6,690,19,32,0,84,-13
2020-07-17,0,0,0,0,0,0,0,0
