date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-28,5,5,0,0,0,0,5,5
2020-04-04,5,0,0,0,0,0,5,0
2020-04-11,5,0,1,1,0,0,4,-1
2020-04-18,6,1,3,2,0,0,3,-1
2020-04-25,9,3,3,0,1,1,5,2
2020-05-02,11,2,6,3,1,0,4,-1
2020-05-09,17,6,11,5,1,0,5,1
2020-05-16,18,1,15,4,1,0,2,-3
2020-05-23,19,1,17,2,1,0,1,-1
2020-05-30,20,1,17,0,1,0,2,1
2020-06-06,20,0,18,1,1,0,1,-1
2020-06-13,22,2,19,1,1,0,2,1
2020-06-20,39,17,20,1,2,1,17,15
2020-06-27,77,38,22,2,2,0,53,36
2020-07-04,87,10,31,9,3,1,53,0
2020-07-11,99,12,63,32,4,1,32,-21
2020-07-17,145,46,65,2,8,4,72,40
