date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-07,6,6,0,0,1,1,5,5
2020-03-14,12,6,4,4,2,1,6,1
2020-03-21,57,45,5,1,6,4,46,40
2020-03-28,131,74,7,2,18,12,106,60
2020-04-04,273,142,14,7,27,9,232,126
2020-04-11,485,212,22,8,40,13,423,191
2020-04-18,739,254,51,29,61,21,627,204
2020-04-25,994,255,105,54,78,17,811,184
2020-05-02,1150,156,167,62,85,7,898,87
2020-05-09,1538,388,231,64,98,13,1209,311
2020-05-16,1721,183,300,69,103,5,1318,109
2020-05-23,2140,419,516,216,132,29,1492,174
2020-05-30,2333,193,680,164,150,18,1503,11
2020-06-06,2470,137,878,198,164,14,1428,-75
2020-06-13,2683,213,1216,338,167,3,1300,-128
2020-06-20,2936,253,1390,174,177,10,1369,69
2020-06-27,3179,243,1649,259,181,4,1349,-20
2020-07-04,3565,386,1831,182,183,2,1551,202
2020-07-11,5123,1558,2031,200,192,9,2900,1349
2020-07-18,5556,433,2309,278,196,4,3051,151
2020-07-25,5959,403,2527,218,201,5,3231,180
2020-07-28,6209,250,3563,1036,201,0,2445,-786
