date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-21,5,5,0,0,2,2,3,3
2020-03-28,45,40,3,3,5,3,37,34
2020-04-04,107,62,26,23,21,16,60,23
2020-04-11,131,24,32,6,29,8,70,10
2020-04-18,315,184,58,26,38,9,219,149
2020-04-25,610,295,81,23,47,9,482,263
2020-05-02,756,146,126,45,52,5,578,96
2020-05-09,947,191,234,108,57,5,656,78
2020-05-16,1129,182,244,10,59,2,826,170
2020-05-23,1277,148,252,8,59,0,966,140
2020-05-30,1355,78,351,99,59,0,945,-21
2020-06-06,1552,197,413,62,67,8,1072,127
2020-06-13,1934,382,736,323,94,27,1104,32
2020-06-20,2557,623,948,212,134,40,1475,371
2020-06-27,3283,726,1076,128,141,7,2066,591
2020-07-04,4392,1109,1583,507,196,55,2613,547
2020-07-11,5392,1000,2003,420,265,69,3124,511
2020-07-18,6615,1223,2766,763,295,30,3554,430
2020-07-25,8307,1692,4035,1269,544,249,3728,174
2020-07-29,9109,802,4755,720,588,44,3766,38
