date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-28,1,1,0,0,0,0,1,1
2020-04-04,1,0,0,0,0,0,1,0
2020-04-11,3,2,0,0,0,0,3,2
2020-04-18,17,14,5,5,0,0,12,9
2020-04-25,20,3,10,5,0,0,10,-2
2020-05-02,23,3,11,1,0,0,12,2
2020-05-09,32,9,11,0,2,2,19,7
2020-05-16,62,30,16,5,4,2,42,23
2020-05-23,157,95,21,5,7,3,129,87
2020-05-30,215,58,35,14,8,1,172,43
2020-06-06,261,46,66,31,8,0,187,15
2020-06-13,399,138,104,38,10,2,285,98
2020-06-20,581,182,160,56,13,3,408,123
2020-06-27,705,124,217,57,15,2,473,65
2020-07-04,775,70,374,157,17,2,384,-89
2020-07-11,864,89,538,164,17,0,309,-75
2020-07-18,929,65,598,60,18,1,313,4
2020-07-19,960,31,602,4,20,2,338,25
