date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-07,4,4,0,0,0,0,4,4
2020-03-14,96,92,8,8,5,5,83,79
2020-03-21,450,354,20,12,38,33,392,309
2020-03-28,1155,705,59,39,102,64,994,602
2020-04-04,2092,937,150,91,191,89,1751,757
2020-04-11,3842,1750,286,136,327,136,3229,1478
2020-04-18,6248,2406,631,345,535,208,5082,1853
2020-04-25,8607,2359,1042,411,720,185,6845,1763
2020-05-02,10843,2236,1665,623,831,111,8347,1502
2020-05-09,13645,2802,2607,942,959,128,10079,1732
2020-05-16,17025,3380,3911,1304,1089,130,12025,1946
2020-05-23,21745,4720,5249,1338,1351,262,15145,3120
2020-05-30,25773,4028,7015,1766,1573,222,17185,2040
2020-06-06,30514,4741,9907,2892,1801,228,18806,1621
2020-06-13,37420,6906,13776,3869,2091,290,21553,2747
2020-06-20,45029,7609,17883,4107,2429,338,24717,3164
2020-06-27,52812,7783,21909,4026,2720,291,28183,3466
2020-07-04,62142,9330,28219,6310,3089,369,30834,2651
2020-07-11,74018,11876,34719,6500,3535,446,35764,4930
2020-07-18,84882,10864,43268,8549,4016,481,37598,1834
