date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-28,6,6,0,0,0,0,6,6
2020-04-04,17,11,4,4,1,1,12,6
2020-04-11,60,43,7,3,4,3,49,37
2020-04-18,94,34,14,7,6,2,74,25
2020-04-25,135,41,32,18,6,0,97,23
2020-05-02,238,103,48,16,6,0,184,87
2020-05-09,274,36,48,0,6,0,220,36
2020-05-16,347,73,48,0,6,0,293,73
2020-05-23,490,143,48,0,6,0,436,143
2020-05-30,653,163,68,20,6,0,579,143
2020-06-06,1001,348,78,10,7,1,916,337
2020-06-13,1215,214,78,0,7,0,1130,214
2020-06-20,1353,138,297,219,7,0,1049,-81
2020-06-27,1626,273,297,0,7,0,1322,273
2020-07-04,1940,314,880,583,16,9,1044,-278
2020-07-11,2172,232,1078,198,20,4,1074,30
2020-07-18,2543,371,1210,132,26,6,1307,233
2020-07-25,2831,288,1311,101,32,6,1488,181
2020-07-26,0,0,0,0,0,0,0,0
