date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-21,1,1,0,0,0,0,1,1
2020-03-28,31,30,0,0,1,1,30,29
2020-04-04,79,48,9,9,8,7,62,32
2020-04-11,175,96,24,15,18,10,133,71
2020-04-18,340,165,50,26,29,11,261,128
2020-04-25,431,91,81,31,34,5,316,55
2020-05-02,576,145,145,64,39,5,392,76
2020-05-09,709,133,258,113,47,8,404,12
2020-05-16,916,207,311,53,51,4,554,150
2020-05-23,1260,344,422,111,60,9,778,224
2020-05-30,1503,243,562,140,71,11,870,92
2020-06-06,1832,329,672,110,92,21,1068,198
2020-06-13,2684,852,864,192,108,16,1712,644
2020-06-20,3667,983,1242,378,134,26,2291,579
2020-06-27,4591,924,1649,407,155,21,2787,496
2020-07-04,5735,1144,2013,364,170,15,3552,765
2020-07-11,6776,1041,2641,628,214,44,3921,369
2020-07-18,7868,1092,3665,1024,269,55,3934,13
2020-07-25,8737,869,6083,2418,292,23,2362,-1572
2020-07-30,9345,608,6372,289,315,23,2658,296
