date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-28,2,2,0,0,0,0,2,2
2020-04-04,4,2,0,0,2,2,2,0
2020-04-11,19,15,2,2,2,0,15,13
2020-04-18,24,5,2,0,3,1,19,4
2020-04-25,36,12,3,1,3,0,30,11
2020-05-02,59,23,11,8,3,0,45,15
2020-05-09,75,16,12,1,3,0,60,15
2020-05-16,113,38,22,10,4,1,87,27
2020-05-23,120,7,37,15,4,0,79,-8
2020-05-30,126,6,52,15,4,0,70,-9
2020-06-06,139,13,87,35,4,0,48,-22
2020-06-13,168,29,97,10,4,0,67,19
2020-06-20,173,5,131,34,4,0,38,-29
2020-06-27,184,11,152,21,5,1,27,-11
2020-07-04,191,7,161,9,6,1,24,-3
2020-07-11,193,2,165,4,6,0,22,-2
2020-07-18,195,2,175,10,6,0,14,-8
2020-07-25,201,6,185,10,7,1,9,-5
2020-07-29,207,6,188,3,7,0,12,3
