zone,last_update,value,percentage,population
JAWA_TIMUR,2020-07-18,17984,21.19,
DKI_JAKARTA,2020-07-18,15738,18.54,
SULAWESI_SELATAN,2020-07-18,7880,9.28,
JAWA_TENGAH,2020-07-18,6621,7.80,
JAWA_BARAT,2020-07-18,5461,6.43,
KALIMANTAN_SELATAN,2020-07-18,4828,5.69,
SUMATERA_SELATAN,2020-07-18,2965,3.49,
SUMATERA_UTARA,2020-07-18,2916,3.44,
BALI,2020-07-18,2681,3.16,
PAPUA,2020-07-18,2551,3.01,
SULAWESI_UTARA,2020-07-18,1849,2.18,
NUSA_TENGGARA_BARAT,2020-07-18,1692,1.99,
BANTEN,2020-07-18,1588,1.87,
KALIMANTAN_TENGAH,2020-07-17,1320,1.56,
MALUKU_UTARA,2020-07-18,1265,1.49,
MALUKU,2020-07-18,929,1.09,
KALIMANTAN_TIMUR,2020-07-18,845,1.00,
SUMATERA_BARAT,2020-07-18,817,0.96,
SULAWESI_TENGGARA,2020-07-18,575,0.68,
GORONTALO,2020-07-18,426,0.50,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-18,401,0.47,
KALIMANTAN_BARAT,2020-07-16,356,0.42,
KEPULAUAN_RIAU,2020-07-18,339,0.40,
PAPUA_BARAT,2020-07-18,339,0.40,
RIAU,2020-07-18,260,0.31,
LAMPUNG,2020-07-18,228,0.27,
KALIMANTAN_UTARA,2020-07-17,216,0.25,
SULAWESI_TENGAH,2020-07-15,195,0.23,
BENGKULU,2020-07-18,179,0.21,
KEPULAUAN_BANGKA_BELITUNG,2020-07-18,176,0.21,
SULAWESI_BARAT,2020-07-18,158,0.19,
ACEH,2020-07-17,145,0.17,
JAMBI,2020-07-18,131,0.15,
NUSA_TENGGARA_TIMUR,2020-07-18,131,0.15,
